Name,GoalKeeping,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
Léo Matos,11.0,8.0,10.0,16.0,12.0,9.0
Luis Gonzalo Bustamante,9.8,16.0,8.0,9.0,10.0,6.0
Ken Reichel,9.4,6.0,9.0,8.0,8.0,16.0
Mark González,12.0,14.0,8.0,13.0,11.0,14.0
Scott Carson,73.0,70.0,73.0,79.0,73.0,70.0
Niko Kranjčar,9.0,6.0,8.0,12.0,8.0,11.0
Benoît Assou-Ekotto,13.0,16.0,7.0,12.0,16.0,14.0
Christophe Berra,10.0,11.0,10.0,15.0,8.0,6.0
Samuel Holmén,9.4,6.0,8.0,16.0,10.0,7.0
Thomas Buffel,11.8,15.0,13.0,8.0,8.0,15.0
Cristian Săpunaru,11.4,12.0,8.0,16.0,13.0,8.0
Tomáš Sivok,10.8,11.0,10.0,14.0,11.0,8.0
Markel Bergara,13.6,15.0,11.0,11.0,15.0,16.0
Lee Chung Yong,7.0,8.0,6.0,7.0,7.0,7.0
Manuel Pasqual,7.4,12.0,6.0,7.0,5.0,7.0
Jorge Molina,11.0,13.0,6.0,8.0,14.0,14.0
Diego Barreto,71.2,71.0,76.0,62.0,73.0,74.0
Arnold Mvuemba,7.8,12.0,7.0,6.0,8.0,6.0
Chad Marshall,11.4,11.0,11.0,16.0,7.0,12.0
Peter Utaka,10.8,14.0,7.0,13.0,11.0,9.0
Jérémy Perbet,9.4,15.0,8.0,8.0,9.0,7.0
Daryl Murphy,10.8,14.0,8.0,6.0,15.0,11.0
Cristian Molinaro,9.6,14.0,9.0,10.0,7.0,8.0
Artem Rebrov,71.6,74.0,74.0,65.0,69.0,76.0
Vladimir Bystrov,12.4,16.0,6.0,15.0,13.0,12.0
Vitolo,11.0,10.0,16.0,8.0,6.0,15.0
Momo,11.6,14.0,11.0,15.0,11.0,7.0
Juli,12.2,16.0,10.0,13.0,12.0,10.0
Egemen Korkmaz,8.8,11.0,8.0,7.0,11.0,7.0
Javier Gandolfi,13.6,16.0,12.0,12.0,15.0,13.0
Germán Denis,9.4,5.0,14.0,10.0,13.0,5.0
Maximiliano Velázquez,11.8,8.0,12.0,16.0,12.0,11.0
Rodrigo Braña,10.8,8.0,15.0,9.0,8.0,14.0
Aitor Sanz,12.4,9.0,14.0,12.0,11.0,16.0
Verza,12.4,16.0,13.0,16.0,10.0,7.0
Edú,10.8,11.0,14.0,10.0,8.0,11.0
Alex Baptiste,10.4,10.0,12.0,8.0,13.0,9.0
Darío Verón,12.8,12.0,16.0,13.0,14.0,9.0
Yoshito Okubo,13.0,15.0,10.0,9.0,16.0,15.0
Yasuhito Endo,12.0,14.0,15.0,15.0,9.0,7.0
Santiago Silva,11.8,7.0,13.0,13.0,11.0,15.0
Jason Shackell,7.6,8.0,8.0,7.0,9.0,6.0
Walter Erviti,9.6,11.0,7.0,13.0,8.0,9.0
Roberto Vitiello,6.8,6.0,9.0,6.0,7.0,6.0
Mounir El Hamdaoui,6.8,7.0,7.0,9.0,6.0,5.0
Yann Jouffre,11.0,12.0,11.0,6.0,16.0,10.0
Alessandro Rosina,10.6,10.0,13.0,12.0,9.0,9.0
Michaël Ciani,10.4,7.0,15.0,9.0,6.0,15.0
Rubinho,71.6,76.0,74.0,64.0,70.0,74.0
Hakan Arıkan,71.2,73.0,79.0,62.0,66.0,76.0
Laurent Pionnier,74.8,75.0,78.0,71.0,70.0,80.0
Charles Itandje,72.2,75.0,73.0,69.0,70.0,74.0
Sascha Riether,11.4,16.0,9.0,12.0,12.0,8.0
Reto Ziegler,4.8,5.0,4.0,6.0,5.0,4.0
Tom Starke,69.8,76.0,74.0,59.0,71.0,69.0
Jean-François Gillet,71.8,75.0,69.0,70.0,73.0,72.0
Claudio Terzi,10.8,12.0,13.0,10.0,11.0,8.0
Tomasz Kuszczak,70.0,69.0,75.0,64.0,64.0,78.0
Craig Gordon,71.4,72.0,70.0,68.0,71.0,76.0
Rolando Bianchi,10.4,6.0,13.0,6.0,12.0,15.0
Florent Balmont,10.8,14.0,6.0,7.0,11.0,16.0
Boaz Myhill,72.4,70.0,74.0,69.0,71.0,78.0
Stefano Mauri,8.8,5.0,8.0,6.0,12.0,13.0
Nicolas Seube,11.8,16.0,9.0,15.0,6.0,13.0
Markus Rosenberg,10.6,8.0,10.0,16.0,8.0,11.0
Alexander Farnerud,9.4,9.0,10.0,10.0,6.0,12.0
Rafael van der Vaart,12.0,16.0,12.0,6.0,12.0,14.0
Kyle Beckerman,11.8,11.0,9.0,13.0,15.0,11.0
Ashley Cole,9.4,6.0,14.0,14.0,7.0,6.0
Shunsuke Nakamura,8.4,15.0,8.0,7.0,6.0,6.0
Rafael Márquez,10.6,7.0,15.0,9.0,10.0,12.0
Roque Santa Cruz,8.2,6.0,13.0,8.0,6.0,8.0
David Pizarro,8.2,9.0,8.0,10.0,7.0,7.0
Custódio,11.8,13.0,6.0,15.0,15.0,10.0
Braga,11.4,8.0,15.0,13.0,15.0,6.0
Alexander Manninger,68.6,72.0,72.0,53.0,72.0,74.0
Benjamin Nivet,9.4,14.0,11.0,8.0,7.0,7.0
Giampiero Pinzi,9.2,6.0,5.0,7.0,15.0,13.0
Omar Kharbin,8.6,7.0,12.0,8.0,8.0,8.0
Oleksandr Karavaiev,12.2,13.0,11.0,14.0,10.0,13.0
David Neres,9.6,13.0,14.0,5.0,10.0,6.0
Wesley Lautoa,9.8,10.0,12.0,6.0,14.0,7.0
Douglas Armeira,9.6,11.0,12.0,11.0,7.0,7.0
Cengiz Ünder,9.2,9.0,9.0,7.0,13.0,8.0
Federico Chiesa,7.4,9.0,6.0,8.0,7.0,7.0
Nicolás Gorosito,10.0,10.0,5.0,11.0,12.0,12.0
Assis,10.6,12.0,12.0,6.0,9.0,14.0
Henry Onyekuru,9.4,6.0,12.0,9.0,9.0,11.0
Rômulo Calsede,12.4,14.0,12.0,12.0,12.0,12.0
Amath Ndiaye Diedhiou,8.8,8.0,6.0,14.0,7.0,9.0
Junya Ito,10.4,5.0,13.0,15.0,12.0,7.0
Chidozie Awaziem,11.0,14.0,12.0,11.0,5.0,13.0
Timothy Fosu-Mensah,9.0,7.0,11.0,8.0,8.0,11.0
Mijo Caktaš,11.2,13.0,13.0,14.0,5.0,11.0
Bernard Berisha,9.4,10.0,6.0,10.0,7.0,14.0
Ruslan Malinovskyi,10.4,15.0,6.0,12.0,6.0,13.0
Tammy Abraham,10.6,13.0,12.0,8.0,7.0,13.0
Adam Ounas,8.2,7.0,8.0,8.0,6.0,12.0
Michael Santos,10.2,6.0,13.0,12.0,10.0,10.0
Gojko Cimirot,10.4,7.0,8.0,9.0,15.0,13.0
João Bruiñeira,72.0,74.0,71.0,77.0,63.0,75.0
Nilsito Vilela,11.0,16.0,7.0,9.0,13.0,10.0
Leandro Vivenço,14.0,18.0,14.0,10.0,11.0,17.0
Adrián Burnabão,10.6,7.0,11.0,7.0,13.0,15.0
Jessé Ledeiro,9.0,10.0,7.0,7.0,7.0,14.0
Jairinhazo,10.0,10.0,10.0,8.0,13.0,9.0
Leordinho Paes,10.8,9.0,11.0,12.0,15.0,7.0
Alessinito,9.4,8.0,7.0,7.0,15.0,10.0
Porphirinho,9.6,9.0,8.0,13.0,9.0,9.0
Marcos Paneira,9.4,8.0,11.0,9.0,10.0,9.0
Pimentiscinho,12.0,7.0,9.0,15.0,13.0,16.0
Timo Triano,12.2,10.0,14.0,11.0,11.0,15.0
Rubem Esteiro,13.8,12.0,8.0,20.0,14.0,15.0
Otávinho Vila,10.4,15.0,7.0,10.0,13.0,7.0
Miltisco Paulino,9.8,8.0,12.0,9.0,8.0,12.0
Denaldo Carneiro,11.0,6.0,10.0,11.0,8.0,20.0
Ailtio Coelho,11.2,7.0,13.0,15.0,13.0,8.0
Pombaxinho,12.8,10.0,15.0,8.0,15.0,16.0
Sanaldo Caiado,13.2,17.0,14.0,10.0,13.0,12.0
Silvosinho,8.8,12.0,7.0,10.0,8.0,7.0
Mauro Cildinho,10.2,8.0,12.0,12.0,10.0,9.0
Jeff Meirson,9.4,7.0,10.0,13.0,9.0,8.0
Joshuando Sá,10.8,9.0,7.0,13.0,10.0,15.0
Jonas Damasto,11.0,9.0,10.0,9.0,15.0,12.0
Walter Silvieiro,9.2,9.0,9.0,7.0,13.0,8.0
Cristian Lodeira,9.2,7.0,8.0,15.0,7.0,9.0
Thiago Alminxa,11.2,7.0,16.0,12.0,14.0,7.0
Santi da Bruma,12.2,10.0,15.0,12.0,13.0,11.0
Michel Cruceiro,10.0,9.0,10.0,13.0,9.0,9.0
Mauro Riboas,9.2,10.0,8.0,7.0,10.0,11.0
Carleto Costinha,11.2,14.0,8.0,11.0,14.0,9.0
Juliano Mascarinhas,10.6,7.0,12.0,9.0,9.0,16.0
Clayton Fildeiras,9.4,8.0,10.0,8.0,9.0,12.0
Estevão Candeira,9.2,7.0,8.0,10.0,12.0,9.0
Vanderlei Cõembra,10.8,8.0,14.0,9.0,16.0,7.0
Wellington Sabrão,10.0,9.0,12.0,12.0,7.0,10.0
Youssef Ait Bennasser,9.2,11.0,6.0,8.0,6.0,15.0
Stefano Sensi,9.6,11.0,10.0,8.0,6.0,13.0
Alexander Barboza,10.2,7.0,11.0,10.0,11.0,12.0
Jacek Góralski,9.4,10.0,11.0,7.0,14.0,5.0
Jorge,9.6,12.0,8.0,5.0,11.0,12.0
Mbilla Etame,10.4,7.0,8.0,13.0,15.0,9.0
Maksym Malyshev,12.2,14.0,13.0,12.0,14.0,8.0
Costinha,8.0,7.0,6.0,10.0,7.0,10.0
Gil Dias,9.0,7.0,5.0,14.0,6.0,13.0
Amilton,10.2,5.0,14.0,9.0,12.0,11.0
Karim Onisiwo,11.6,10.0,11.0,10.0,11.0,16.0
Borja Valle,9.4,8.0,11.0,6.0,9.0,13.0
Óscar Estupiñán,10.2,9.0,11.0,14.0,11.0,6.0
Jhon Murillo,9.6,9.0,7.0,13.0,7.0,12.0
Florian Grillitsch,10.6,14.0,13.0,7.0,12.0,7.0
Ricardo Lopes,10.4,10.0,6.0,15.0,15.0,6.0
Daniel Buitrago,9.2,6.0,8.0,6.0,14.0,12.0
Diego Viera,9.8,10.0,15.0,8.0,9.0,7.0
Marko Dmitrović,72.0,77.0,65.0,75.0,75.0,68.0
Álex Remiro,71.8,66.0,74.0,74.0,75.0,70.0
Diego González,8.4,8.0,7.0,8.0,7.0,12.0
Axel Sjöberg,11.8,9.0,13.0,11.0,14.0,12.0
Baldomero Perlaza,14.4,15.0,15.0,15.0,12.0,15.0
Rubén Duarte,11.2,11.0,10.0,14.0,12.0,9.0
Marcus Coco,9.4,7.0,12.0,15.0,6.0,7.0
Cristian Omar Espinoza,10.2,7.0,16.0,12.0,8.0,8.0
Uche Agbo,9.8,10.0,10.0,8.0,8.0,13.0
Jordan Morris,10.8,14.0,15.0,8.0,9.0,8.0
Jean-Kévin Augustin,9.2,12.0,14.0,8.0,6.0,6.0
Alexandr Golovin,13.2,10.0,12.0,14.0,14.0,16.0
Guido Rodríguez,11.8,16.0,12.0,14.0,11.0,6.0
Ahmet Oğuz,10.6,10.0,6.0,14.0,8.0,15.0
Ellyes Skhiri,13.0,14.0,15.0,8.0,14.0,14.0
Castro,11.4,10.0,10.0,8.0,16.0,13.0
Kevin Lasagna,13.0,15.0,8.0,13.0,14.0,15.0
Bustinza,11.4,13.0,14.0,11.0,12.0,7.0
Goran Čaušić,12.0,10.0,8.0,13.0,14.0,15.0
Yann Bodiger,12.8,13.0,14.0,9.0,12.0,16.0
Walter Montoya,11.8,15.0,9.0,12.0,10.0,13.0
Jérémie Boga,12.4,14.0,15.0,9.0,8.0,16.0
Fábio Martins,10.6,13.0,9.0,7.0,15.0,9.0
Hiroki Yamada,11.2,7.0,9.0,9.0,15.0,16.0
Germán Lanaro,10.2,14.0,10.0,10.0,11.0,6.0
Derrick Luckassen,8.2,7.0,9.0,9.0,10.0,6.0
Ivaylo Chochev,11.2,14.0,7.0,14.0,9.0,12.0
Crislan,13.0,16.0,12.0,16.0,12.0,9.0
Jonathan Rodríguez,10.6,7.0,12.0,10.0,14.0,10.0
Robert Bauer,11.6,11.0,11.0,14.0,7.0,15.0
Orkan Çınar,9.4,7.0,13.0,8.0,12.0,7.0
Wout Weghorst,12.4,16.0,11.0,14.0,9.0,12.0
Munir,69.4,75.0,69.0,59.0,71.0,73.0
Edoardo Goldaniga,11.6,15.0,9.0,7.0,12.0,15.0
Zé Manuel,11.8,13.0,8.0,15.0,9.0,14.0
Numan Çürüksu,11.2,13.0,13.0,9.0,12.0,9.0
Ivan Močinić,10.4,14.0,7.0,6.0,14.0,11.0
Elvis Kokalović,8.6,7.0,8.0,8.0,11.0,9.0
Marvelous Nakamba,11.4,15.0,9.0,10.0,15.0,8.0
Manabu Saito,9.8,7.0,7.0,13.0,15.0,7.0
Rolando Aarons,9.6,10.0,15.0,10.0,6.0,7.0
Timothy Castagne,12.6,10.0,14.0,15.0,9.0,15.0
Unai López,12.4,13.0,9.0,12.0,13.0,15.0
Lukas Klostermann,8.8,7.0,8.0,10.0,12.0,7.0
Elmir Nabiullin,10.8,7.0,13.0,15.0,6.0,13.0
Donis Avdijaj,10.6,9.0,14.0,9.0,13.0,8.0
Carlos Gruezo,10.8,12.0,9.0,12.0,10.0,11.0
Nahuel Leiva,11.2,9.0,8.0,16.0,13.0,10.0
Nano,11.2,7.0,15.0,14.0,11.0,9.0
Donny van de Beek,10.2,10.0,7.0,8.0,12.0,14.0
Estéfano Arango,10.6,12.0,10.0,14.0,9.0,8.0
Alexis Pérez,12.2,12.0,16.0,13.0,8.0,12.0
Abdelhak Nouri,11.2,7.0,15.0,9.0,12.0,13.0
Dario Rodríguez,13.8,8.0,15.0,15.0,16.0,15.0
Ezequiel Ponce,9.6,7.0,12.0,7.0,16.0,6.0
Gastón Silva,9.8,12.0,7.0,13.0,7.0,10.0
Renato Tapia,12.0,15.0,16.0,7.0,14.0,8.0
Demarai Gray,10.2,13.0,6.0,11.0,11.0,10.0
Daniel Hernández,8.4,8.0,7.0,7.0,8.0,12.0
Federico Ricci,9.4,5.0,13.0,12.0,11.0,6.0
Jonatan Cristaldo,12.6,12.0,13.0,16.0,13.0,9.0
Norbert Gyömbér,10.2,14.0,9.0,9.0,8.0,11.0
Gabriel Castellón,69.2,69.0,71.0,59.0,70.0,77.0
Matías Pisano,9.0,13.0,7.0,7.0,10.0,8.0
David Costas,11.0,14.0,10.0,10.0,15.0,6.0
Roger Martínez,13.0,7.0,14.0,15.0,16.0,13.0
Thomas Didillon,70.6,72.0,72.0,62.0,74.0,73.0
Andrés Mosquera,7.8,7.0,7.0,6.0,13.0,6.0
Yony González,11.2,13.0,8.0,11.0,9.0,15.0
Diego Galo,9.6,8.0,8.0,7.0,12.0,13.0
Rober Ibáñez,10.6,12.0,11.0,9.0,10.0,11.0
Claudio Aquino,13.2,15.0,10.0,16.0,15.0,10.0
Derley,9.2,9.0,12.0,9.0,9.0,7.0
Pablo Galdames,10.2,14.0,9.0,10.0,6.0,12.0
Rafa Soares,12.0,14.0,11.0,16.0,13.0,6.0
Alejandro Silva,13.0,13.0,12.0,14.0,15.0,11.0
Facundo Sánchez,10.8,6.0,12.0,15.0,7.0,14.0
César Fuentes,9.4,9.0,11.0,13.0,6.0,8.0
Yuya Kubo,11.4,11.0,9.0,14.0,11.0,12.0
Andre Blake,70.0,72.0,73.0,62.0,65.0,78.0
Bruno Henrique,10.2,11.0,11.0,7.0,11.0,11.0
Emanuele Suagher,11.2,11.0,15.0,8.0,10.0,12.0
Hernán Menosse,10.4,14.0,10.0,6.0,15.0,7.0
Léo Dubois,10.8,9.0,13.0,8.0,8.0,16.0
Daley Sinkgraven,12.6,14.0,10.0,11.0,13.0,15.0
Danilo,11.6,10.0,10.0,15.0,11.0,12.0
Joost van Aken,9.4,7.0,13.0,9.0,7.0,11.0
André Claro,12.0,7.0,13.0,9.0,15.0,16.0
Lorenzo Pasciuti,8.0,9.0,6.0,9.0,6.0,10.0
Nery Domínguez,13.4,11.0,15.0,12.0,13.0,16.0
Gabriel Vargas,8.4,6.0,9.0,10.0,10.0,7.0
Rafael Delgado,10.8,14.0,9.0,7.0,13.0,11.0
Renato González,9.6,13.0,6.0,13.0,8.0,8.0
Matteo Mancosu,10.2,12.0,7.0,6.0,12.0,14.0
Unai Garcia,13.2,14.0,13.0,11.0,16.0,12.0
Matt Miazga,10.6,7.0,10.0,14.0,7.0,15.0
Lucas Evangelista,11.8,12.0,13.0,13.0,13.0,8.0
Marcelo Meli,10.4,7.0,8.0,11.0,16.0,10.0
Jonathan Silva,10.6,13.0,15.0,9.0,6.0,10.0
Lucas Albertengo,12.0,13.0,6.0,13.0,13.0,15.0
Lucas Melano,12.0,7.0,13.0,16.0,15.0,9.0
Francisco Cerro,11.4,11.0,6.0,11.0,15.0,14.0
Washington Camacho,10.2,9.0,7.0,16.0,11.0,8.0
Gonzalo Verón,9.0,7.0,15.0,9.0,7.0,7.0
Martín Rolle,11.2,12.0,13.0,7.0,10.0,14.0
Diego Braghieri,8.6,6.0,7.0,14.0,9.0,7.0
Bruno Bianchi,13.8,16.0,14.0,14.0,15.0,10.0
Pablo Alvarado,10.4,7.0,14.0,14.0,6.0,11.0
Martín Benítez,10.4,9.0,7.0,15.0,9.0,12.0
Claudio Riaño,11.6,13.0,11.0,10.0,13.0,11.0
Óscar Opazo,10.0,9.0,14.0,9.0,11.0,7.0
Martín Rodríguez,10.2,11.0,14.0,8.0,12.0,6.0
Rodrigo Gómez,12.2,15.0,14.0,10.0,15.0,7.0
Marlon Piedrahita,11.0,12.0,10.0,15.0,9.0,9.0
Román Torres,9.4,12.0,8.0,8.0,7.0,12.0
Jorge Aguirre,12.0,7.0,8.0,16.0,14.0,15.0
Leonardo Valencia,7.8,8.0,10.0,8.0,7.0,6.0
Felipe Aguilar,13.8,14.0,12.0,12.0,15.0,16.0
Antony Silva,69.0,70.0,71.0,62.0,70.0,72.0
Didier Moreno,10.8,16.0,7.0,12.0,7.0,12.0
Ayron del Valle,10.8,13.0,7.0,14.0,11.0,9.0
Yeison Gordillo,10.0,11.0,7.0,16.0,8.0,8.0
Francisco Meza,11.8,15.0,9.0,11.0,14.0,10.0
Jonathan Lopera,9.8,9.0,11.0,7.0,7.0,15.0
Aketxe,12.8,15.0,15.0,12.0,14.0,8.0
Alexander Fransson,9.8,10.0,10.0,11.0,7.0,11.0
Paddy McNair,11.0,8.0,14.0,11.0,8.0,14.0
Fausto Tienza,12.0,14.0,7.0,14.0,14.0,11.0
Somália,8.8,8.0,11.0,7.0,10.0,8.0
Albizua,11.8,14.0,8.0,14.0,14.0,9.0
Kim Jin Su,9.6,9.0,14.0,12.0,6.0,7.0
Tozé,14.2,16.0,15.0,12.0,13.0,15.0
DeAndre Yedlin,10.2,11.0,7.0,7.0,15.0,11.0
Ludwig Augustinsson,11.0,15.0,10.0,10.0,12.0,8.0
Davie Selke,11.0,11.0,12.0,7.0,11.0,14.0
Maxime Chanot,11.2,15.0,8.0,9.0,16.0,8.0
Tiago Silva,10.2,9.0,9.0,7.0,13.0,13.0
Alberto Martín,9.8,13.0,9.0,11.0,7.0,9.0
Kenan Karaman,10.8,8.0,6.0,13.0,12.0,15.0
Brandon Mechele,11.2,13.0,11.0,13.0,7.0,12.0
Philipp Max,11.4,8.0,15.0,11.0,12.0,11.0
Mohamed Abdul Shafy,10.0,13.0,15.0,8.0,6.0,8.0
Kevin Möhwald,11.6,10.0,15.0,12.0,13.0,8.0
Pere Pons,10.2,8.0,11.0,9.0,11.0,12.0
Carlos Hernández,12.4,14.0,13.0,12.0,9.0,14.0
Tom Lawrence,10.0,13.0,10.0,13.0,7.0,7.0
Ibrahim Amadou,10.4,14.0,6.0,11.0,7.0,14.0
Pavel Mogilevets,10.2,9.0,16.0,7.0,13.0,6.0
Elsinho,12.2,13.0,10.0,14.0,10.0,14.0
Wanderson,12.6,15.0,15.0,9.0,14.0,10.0
José Mari,10.8,6.0,8.0,12.0,14.0,14.0
David Accam,12.0,11.0,14.0,15.0,10.0,10.0
Nicolás Martínez,11.4,8.0,13.0,11.0,16.0,9.0
Haitam Aleesami,11.0,10.0,12.0,11.0,15.0,7.0
Fouad Chafik,9.0,9.0,13.0,6.0,8.0,9.0
Albert Rusnák,10.6,13.0,10.0,16.0,7.0,7.0
Rui Silva,69.8,69.0,74.0,64.0,68.0,74.0
Filippo Falco,10.0,11.0,10.0,13.0,9.0,7.0
Cristian Pellerano,8.0,7.0,10.0,6.0,10.0,7.0
Hélder Lopes,11.2,14.0,7.0,12.0,9.0,14.0
Hany Mukhtar,11.0,9.0,15.0,9.0,10.0,12.0
Joris van Overeem,10.4,9.0,9.0,12.0,15.0,7.0
Maciej Gajos,8.0,7.0,7.0,13.0,6.0,7.0
Christian Günter,11.0,8.0,9.0,9.0,15.0,14.0
Siebe Schrijvers,9.6,14.0,8.0,6.0,6.0,14.0
Joey Pelupessy,11.8,8.0,15.0,8.0,14.0,14.0
Milan Vilotić,13.0,14.0,13.0,12.0,12.0,14.0
Branimir Hrgota,9.6,9.0,7.0,11.0,7.0,14.0
Nabil Ghilas,9.6,7.0,11.0,8.0,16.0,6.0
Ádám Gyurcsó,9.2,8.0,8.0,12.0,8.0,10.0
Lorenzo Lollo,7.8,6.0,9.0,8.0,9.0,7.0
Jehad Al Hussien,8.0,9.0,10.0,6.0,8.0,7.0
Fahad Al Muwallad,11.2,7.0,12.0,13.0,13.0,11.0
Harrison Henao,10.0,7.0,7.0,11.0,16.0,9.0
Óscar Plano,11.8,8.0,8.0,16.0,14.0,13.0
Peter Ankersen,12.8,15.0,13.0,7.0,16.0,13.0
Andrew Wooten,11.6,15.0,13.0,6.0,10.0,14.0
Ibrahima Cissé,12.2,13.0,12.0,10.0,11.0,15.0
Bryan Cristante,3.8,3.0,3.0,3.0,5.0,5.0
Patrick,11.0,16.0,10.0,13.0,7.0,9.0
Ju Se Jong,9.2,7.0,10.0,8.0,13.0,8.0
Leandro Fernández,9.8,12.0,11.0,14.0,6.0,6.0
Tom Rogić,11.8,12.0,12.0,13.0,11.0,11.0
Alexander González,11.0,9.0,13.0,7.0,13.0,13.0
Ryan Fraser,12.2,7.0,15.0,15.0,14.0,10.0
Syam Ben Youssef,12.0,15.0,12.0,8.0,15.0,10.0
Giannis Skondras,11.6,15.0,12.0,8.0,9.0,14.0
Emil Krafth,11.4,14.0,8.0,15.0,13.0,7.0
Kenneth Omeruo,11.0,7.0,9.0,16.0,8.0,15.0
Robin Olsen,71.4,73.0,66.0,71.0,75.0,72.0
Marcus Rohdén,12.4,13.0,13.0,10.0,12.0,14.0
Slobodan Medojević,12.0,12.0,12.0,11.0,10.0,15.0
Alexis Henríquez,11.2,6.0,15.0,10.0,14.0,11.0
Stef Peeters,11.8,14.0,12.0,13.0,13.0,7.0
Kevin Stewart,10.2,10.0,13.0,8.0,7.0,13.0
Jack Grealish,10.2,10.0,11.0,11.0,6.0,13.0
Nir Bitton,9.8,11.0,14.0,8.0,10.0,6.0
Iván López,11.2,10.0,14.0,11.0,11.0,10.0
André Biyogo Poko,13.4,15.0,14.0,13.0,14.0,11.0
Eric Mathoho,10.2,10.0,13.0,6.0,12.0,10.0
Edgar Salli,10.2,8.0,7.0,13.0,10.0,13.0
Alessio Cragno,69.2,68.0,82.0,51.0,65.0,80.0
Lenny Nangis,11.4,7.0,12.0,10.0,15.0,13.0
André Sousa,9.0,8.0,15.0,6.0,8.0,8.0
Luca Ceppitelli,10.2,9.0,12.0,10.0,10.0,10.0
Luca Antei,11.4,11.0,14.0,10.0,11.0,11.0
Niclas Füllkrug,11.2,13.0,15.0,10.0,9.0,9.0
Djaniny,10.6,10.0,11.0,16.0,8.0,8.0
Gonzalo Espinoza,11.2,12.0,11.0,9.0,11.0,13.0
Guillaume Hubert,70.4,69.0,71.0,66.0,74.0,72.0
Filip Novák,10.0,10.0,11.0,14.0,8.0,7.0
Oscar Lewicki,10.8,10.0,12.0,7.0,10.0,15.0
Rachid Alioui,10.8,6.0,15.0,11.0,15.0,7.0
Dieumerci Ndongala,11.0,10.0,11.0,9.0,10.0,15.0
Clerc,11.2,10.0,7.0,11.0,14.0,14.0
Rafael Baca,12.2,14.0,13.0,7.0,14.0,13.0
Renato Ibarra,10.0,13.0,6.0,14.0,9.0,8.0
Philipp Hosiner,13.8,16.0,13.0,14.0,14.0,12.0
Luis Advíncula,12.4,15.0,11.0,13.0,12.0,11.0
Stefano Marzo,10.4,14.0,7.0,6.0,11.0,14.0
Gervasio Núñez,9.8,8.0,10.0,16.0,6.0,9.0
Tomer Hemed,11.0,9.0,12.0,11.0,12.0,11.0
Edgar Badía,71.2,74.0,75.0,66.0,68.0,73.0
Stelios Kitsiou,11.2,15.0,9.0,9.0,9.0,14.0
Tommy Smith,13.2,14.0,15.0,14.0,14.0,9.0
Leonardo Blanchard,8.8,12.0,6.0,7.0,12.0,7.0
Nuno Henrique,10.4,11.0,13.0,10.0,9.0,9.0
David Pavelka,11.2,16.0,10.0,11.0,8.0,11.0
Jamaal Lascelles,11.4,10.0,10.0,7.0,15.0,15.0
Ismaël Diomandé,11.6,15.0,16.0,10.0,8.0,9.0
Britt Assombalonga,8.4,11.0,8.0,6.0,10.0,7.0
Luccas Claro,13.4,15.0,13.0,10.0,15.0,14.0
Héctor,10.8,8.0,13.0,15.0,9.0,9.0
Yun Il Lok,8.6,8.0,6.0,6.0,11.0,12.0
Thulani Serero,11.4,12.0,7.0,14.0,14.0,10.0
Alexander Milošević,10.2,8.0,10.0,12.0,11.0,10.0
Jean-Christophe Bahebeck,11.8,11.0,13.0,15.0,9.0,11.0
Tom Carroll,10.4,9.0,11.0,11.0,10.0,11.0
Danny da Costa,10.8,6.0,15.0,12.0,15.0,6.0
Martos,12.0,14.0,15.0,10.0,12.0,9.0
Hernán,12.4,14.0,15.0,11.0,8.0,14.0
Aden Flint,10.4,10.0,13.0,8.0,10.0,11.0
Stuart Armstrong,11.8,11.0,14.0,13.0,8.0,13.0
Justin Meram,9.6,13.0,13.0,8.0,8.0,6.0
Ergys Kace,11.6,8.0,7.0,15.0,16.0,12.0
Moses Odubajo,11.4,13.0,14.0,6.0,10.0,14.0
Alfredo Morales,12.6,16.0,9.0,13.0,13.0,12.0
José Luis Fernández,11.2,15.0,10.0,9.0,13.0,9.0
Luis Carlos Arias,11.0,8.0,14.0,9.0,9.0,15.0
Nicolas Benezet,11.6,13.0,7.0,12.0,12.0,14.0
Alfred Gomis,71.2,73.0,75.0,64.0,71.0,73.0
Alexander Søderlund,10.4,11.0,11.0,15.0,8.0,7.0
Simon Thern,10.2,14.0,7.0,13.0,7.0,10.0
Juan Sánchez Miño,11.8,14.0,12.0,11.0,13.0,9.0
Andreas Cornelius,10.4,11.0,15.0,8.0,9.0,9.0
Attila Fiola,8.8,9.0,9.0,7.0,13.0,6.0
Marco Capuano,10.0,6.0,9.0,13.0,15.0,7.0
Uffe Bech,9.8,12.0,9.0,6.0,14.0,8.0
Sami,12.2,10.0,16.0,11.0,15.0,9.0
Cristiano Biraghi,9.8,10.0,12.0,14.0,6.0,7.0
Mohammed Abu,10.6,14.0,13.0,13.0,7.0,6.0
Frederik Sørensen,11.2,10.0,11.0,14.0,10.0,11.0
Robert Žulj,10.0,9.0,8.0,11.0,12.0,10.0
Christian Gytkjær,12.8,14.0,11.0,12.0,12.0,15.0
Frederik Rønnow,71.2,71.0,74.0,66.0,70.0,75.0
Kasper Kusk,12.2,15.0,6.0,16.0,13.0,11.0
Ledian Memushaj,10.6,10.0,15.0,6.0,7.0,15.0
Errasti,11.4,13.0,8.0,14.0,7.0,15.0
Mickaël Le Bihan,11.6,8.0,13.0,8.0,16.0,13.0
