Name,Defending,Sliding_Tackle,Standing_Tackle,Interceptions
Juli,31.666666666666668,21,28,46
Egemen Korkmaz,72.0,71,76,69
Javier Gandolfi,72.33333333333333,72,74,71
Germán Denis,23.333333333333332,20,26,24
Maximiliano Velázquez,72.0,70,73,73
Rodrigo Braña,72.0,69,76,71
Aitor Sanz,67.0,61,72,68
Verza,69.0,62,72,73
Edú,44.333333333333336,41,47,45
Alex Baptiste,72.0,74,74,68
Darío Verón,71.66666666666667,69,74,72
Yoshito Okubo,15.666666666666666,14,20,13
Yasuhito Endo,67.66666666666667,66,69,68
Santiago Silva,39.666666666666664,39,36,44
Jason Shackell,71.66666666666667,72,71,72
Walter Erviti,51.666666666666664,33,55,67
Roberto Vitiello,76.0,76,76,76
Mounir El Hamdaoui,28.0,27,29,28
Yann Jouffre,48.666666666666664,41,51,54
Alessandro Rosina,21.0,22,27,14
Michaël Ciani,73.0,68,81,70
Rubinho,12.0,12,13,11
Hakan Arıkan,15.0,12,11,22
Laurent Pionnier,16.0,11,15,22
Charles Itandje,14.0,17,15,10
Sascha Riether,74.66666666666667,76,75,73
Reto Ziegler,73.66666666666667,73,76,72
Tom Starke,16.666666666666668,10,15,25
Jean-François Gillet,15.666666666666666,12,14,21
Claudio Terzi,74.66666666666667,75,75,74
Tomasz Kuszczak,16.666666666666668,13,14,23
Craig Gordon,18.0,13,15,26
Rolando Bianchi,30.0,20,34,36
Florent Balmont,74.0,71,74,77
Boaz Myhill,17.333333333333332,16,11,25
Stefano Mauri,66.33333333333333,63,68,68
Nicolas Seube,72.33333333333333,69,73,75
Markus Rosenberg,31.0,31,20,42
Alexander Farnerud,60.0,57,61,62
Rafael van der Vaart,48.0,43,49,52
Kyle Beckerman,70.0,69,71,70
Ashley Cole,73.0,74,70,75
Shunsuke Nakamura,35.0,34,38,33
Rafael Márquez,75.33333333333333,74,77,75
Roque Santa Cruz,30.333333333333332,31,25,35
David Pizarro,65.33333333333333,63,62,71
Custódio,70.66666666666667,68,70,74
Braga,46.666666666666664,35,49,56
Alexander Manninger,15.0,15,14,16
Benjamin Nivet,52.666666666666664,45,59,54
Giampiero Pinzi,73.0,69,73,77
Omar Kharbin,21.0,23,17,23
Oleksandr Karavaiev,22.333333333333332,25,21,21
David Neres,27.333333333333332,32,32,18
Wesley Lautoa,75.0,73,75,77
Douglas Armeira,72.0,72,74,70
Cengiz Ünder,30.666666666666668,30,33,29
Federico Chiesa,31.333333333333332,34,34,26
Nicolás Gorosito,70.33333333333333,74,71,66
Assis,75.0,71,76,78
Henry Onyekuru,27.0,25,38,18
Rômulo Calsede,26.666666666666668,24,26,30
Amath Ndiaye Diedhiou,42.666666666666664,35,52,41
Junya Ito,60.666666666666664,56,59,67
Chidozie Awaziem,71.0,68,72,73
Timothy Fosu-Mensah,73.33333333333333,74,72,74
Mijo Caktaš,38.666666666666664,42,41,33
Bernard Berisha,33.333333333333336,28,29,43
Ruslan Malinovskyi,50.0,46,56,48
Tammy Abraham,19.666666666666668,15,22,22
Adam Ounas,49.333333333333336,47,54,47
Michael Santos,31.666666666666668,27,31,37
Gojko Cimirot,62.666666666666664,63,64,61
João Bruiñeira,15.333333333333334,7,8,31
Nilsito Vilela,23.0,13,12,44
Leandro Vivenço,21.666666666666668,21,22,22
Adrián Burnabão,24.666666666666668,21,23,30
Jessé Ledeiro,44.333333333333336,35,46,52
Jairinhazo,41.666666666666664,32,51,42
Leordinho Paes,47.333333333333336,42,54,46
Alessinito,72.0,73,72,71
Porphirinho,72.33333333333333,72,73,72
Marcos Paneira,73.66666666666667,74,75,72
Pimentiscinho,72.0,72,73,71
Timo Triano,74.33333333333333,73,77,73
Rubem Esteiro,74.33333333333333,77,74,72
Otávinho Vila,73.66666666666667,77,70,74
Miltisco Paulino,70.33333333333333,72,73,66
Denaldo Carneiro,73.33333333333333,75,72,73
Ailtio Coelho,72.0,75,74,67
Pombaxinho,73.33333333333333,76,77,67
Sanaldo Caiado,70.66666666666667,67,73,72
Silvosinho,67.0,76,63,62
Mauro Cildinho,71.66666666666667,73,65,77
Jeff Meirson,74.0,72,73,77
Joshuando Sá,71.0,71,71,71
Jonas Damasto,69.33333333333333,73,68,67
Walter Silvieiro,39.0,28,38,51
Cristian Lodeira,29.666666666666668,26,26,37
Thiago Alminxa,21.333333333333332,13,17,34
Santi da Bruma,36.666666666666664,32,33,45
Michel Cruceiro,70.33333333333333,65,72,74
Mauro Riboas,42.0,37,41,48
Carleto Costinha,44.333333333333336,38,52,43
Juliano Mascarinhas,71.66666666666667,68,72,75
Clayton Fildeiras,54.666666666666664,48,53,63
Estevão Candeira,70.66666666666667,71,73,68
Vanderlei Cõembra,72.0,77,67,72
Wellington Sabrão,73.33333333333333,76,77,67
Youssef Ait Bennasser,63.666666666666664,61,65,65
Stefano Sensi,69.33333333333333,69,72,67
Alexander Barboza,72.0,73,81,62
Jacek Góralski,71.66666666666667,69,69,77
Jorge,69.0,65,74,68
Mbilla Etame,38.666666666666664,28,31,57
Maksym Malyshev,67.33333333333333,63,68,71
Costinha,39.666666666666664,38,44,37
Gil Dias,33.333333333333336,30,35,35
Amilton,32.666666666666664,30,27,41
Karim Onisiwo,25.0,25,25,25
Borja Valle,39.666666666666664,40,39,40
Óscar Estupiñán,19.666666666666668,20,21,18
Jhon Murillo,19.333333333333332,20,18,20
Florian Grillitsch,48.666666666666664,32,48,66
Ricardo Lopes,30.0,25,32,33
Daniel Buitrago,22.333333333333332,26,22,19
Diego Viera,67.66666666666667,66,78,59
Marko Dmitrović,19.666666666666668,20,22,17
Álex Remiro,18.333333333333332,18,17,20
Diego González,73.33333333333333,78,75,67
Axel Sjöberg,68.0,60,70,74
Baldomero Perlaza,68.33333333333333,62,73,70
Rubén Duarte,72.33333333333333,77,73,67
Marcus Coco,41.666666666666664,32,44,49
Cristian Omar Espinoza,27.333333333333332,24,28,30
Uche Agbo,71.0,70,73,70
Jordan Morris,25.666666666666668,26,23,28
Jean-Kévin Augustin,16.333333333333332,17,16,16
Alexandr Golovin,66.0,64,67,67
Guido Rodríguez,72.0,69,75,72
Ahmet Oğuz,70.33333333333333,69,74,68
Ellyes Skhiri,71.33333333333333,66,72,76
Castro,28.666666666666668,31,31,24
Kevin Lasagna,15.666666666666666,15,15,17
Bustinza,72.66666666666667,73,75,70
Goran Čaušić,62.333333333333336,58,68,61
Yann Bodiger,71.33333333333333,70,74,70
Walter Montoya,35.333333333333336,38,40,28
Jérémie Boga,39.333333333333336,35,42,41
Fábio Martins,43.0,48,43,38
Hiroki Yamada,54.333333333333336,53,52,58
Germán Lanaro,68.0,71,74,59
Derrick Luckassen,71.66666666666667,70,72,73
Ivaylo Chochev,63.0,61,65,63
Crislan,30.0,40,27,23
Jonathan Rodríguez,40.0,45,40,35
Robert Bauer,73.33333333333333,70,77,73
Orkan Çınar,24.666666666666668,30,22,22
Wout Weghorst,27.666666666666668,26,23,34
Munir,25.0,18,30,27
Edoardo Goldaniga,71.0,70,73,70
Zé Manuel,20.333333333333332,18,21,22
Numan Çürüksu,75.33333333333333,75,79,72
Ivan Močinić,70.0,62,64,84
Elvis Kokalović,71.0,72,74,67
Marvelous Nakamba,74.66666666666667,71,76,77
Manabu Saito,20.666666666666668,22,21,19
Rolando Aarons,29.333333333333332,31,29,28
Timothy Castagne,68.66666666666667,69,72,65
Unai López,62.333333333333336,57,68,62
Lukas Klostermann,68.33333333333333,67,70,68
Elmir Nabiullin,70.0,75,74,61
Donis Avdijaj,22.666666666666668,19,23,26
Carlos Gruezo,71.0,70,72,71
Nahuel Leiva,23.0,17,20,32
Nano,21.333333333333332,20,23,21
Donny van de Beek,54.0,44,59,59
Estéfano Arango,20.666666666666668,21,20,21
Alexis Pérez,71.0,68,75,70
Abdelhak Nouri,37.666666666666664,32,37,44
Dario Rodríguez,40.0,34,42,44
Ezequiel Ponce,23.666666666666668,24,23,24
Gastón Silva,75.33333333333333,77,74,75
Renato Tapia,67.33333333333333,65,70,67
Demarai Gray,22.0,20,23,23
Daniel Hernández,28.0,25,27,32
Federico Ricci,49.0,50,50,47
Jonatan Cristaldo,26.0,21,23,34
Norbert Gyömbér,74.66666666666667,73,75,76
Gabriel Castellón,23.666666666666668,23,23,25
Matías Pisano,35.666666666666664,34,37,36
David Costas,75.33333333333333,76,74,76
Roger Martínez,21.333333333333332,18,21,25
Thomas Didillon,17.333333333333332,20,18,14
Andrés Mosquera,68.66666666666667,71,73,62
Yony González,53.333333333333336,57,65,38
Diego Galo,70.66666666666667,68,71,73
Rober Ibáñez,48.0,42,49,53
Claudio Aquino,34.666666666666664,26,29,49
Derley,29.666666666666668,30,31,28
Pablo Galdames,72.33333333333333,61,71,85
Rafa Soares,69.33333333333333,69,71,68
Alejandro Silva,66.66666666666667,65,67,68
Facundo Sánchez,67.0,69,70,62
César Fuentes,71.66666666666667,63,75,77
Yuya Kubo,42.333333333333336,51,49,27
Andre Blake,14.0,13,14,15
Bruno Henrique,75.66666666666667,74,77,76
Emanuele Suagher,72.66666666666667,75,75,68
Hernán Menosse,70.0,68,72,70
Léo Dubois,71.0,72,72,69
Daley Sinkgraven,64.33333333333333,59,65,69
Danilo,69.66666666666667,71,70,68
Joost van Aken,72.33333333333333,69,73,75
André Claro,29.0,36,27,24
Lorenzo Pasciuti,52.666666666666664,58,47,53
Nery Domínguez,70.33333333333333,69,71,71
Gabriel Vargas,20.0,18,24,18
Rafael Delgado,68.33333333333333,69,68,68
Renato González,30.0,38,33,19
Matteo Mancosu,19.333333333333332,18,20,20
Unai Garcia,73.33333333333333,76,74,70
Matt Miazga,71.0,72,73,68
Lucas Evangelista,54.666666666666664,63,59,42
Marcelo Meli,71.0,69,70,74
Jonathan Silva,68.33333333333333,68,67,70
Lucas Albertengo,22.333333333333332,23,21,23
Lucas Melano,27.0,28,29,24
Francisco Cerro,72.66666666666667,72,73,73
Washington Camacho,53.666666666666664,48,54,59
Gonzalo Verón,33.666666666666664,31,37,33
Martín Rolle,31.0,32,33,28
Diego Braghieri,71.33333333333333,73,72,69
Bruno Bianchi,73.0,69,75,75
Pablo Alvarado,71.66666666666667,72,73,70
Martín Benítez,29.0,23,23,41
Claudio Riaño,15.666666666666666,15,16,16
Óscar Opazo,67.66666666666667,77,62,64
Martín Rodríguez,53.0,46,56,57
Rodrigo Gómez,49.0,46,46,55
Marlon Piedrahita,65.66666666666667,66,66,65
Román Torres,68.66666666666667,68,73,65
Jorge Aguirre,24.333333333333332,25,24,24
Leonardo Valencia,27.666666666666668,28,21,34
Felipe Aguilar,73.0,62,73,84
Antony Silva,15.333333333333334,15,14,17
Didier Moreno,71.0,70,68,75
Ayron del Valle,22.0,19,21,26
Yeison Gordillo,69.66666666666667,66,73,70
Francisco Meza,74.33333333333333,73,72,78
Jonathan Lopera,67.66666666666667,70,75,58
Aketxe,44.333333333333336,47,45,41
Alexander Fransson,68.0,65,69,70
Paddy McNair,73.0,72,74,73
Fausto Tienza,74.0,64,80,78
Somália,70.33333333333333,70,73,68
Albizua,74.0,79,76,67
Kim Jin Su,72.0,73,72,71
Tozé,40.0,36,38,46
DeAndre Yedlin,65.0,69,69,57
Ludwig Augustinsson,65.33333333333333,69,65,62
Davie Selke,24.333333333333332,17,27,29
Maxime Chanot,69.0,73,68,66
Tiago Silva,52.333333333333336,51,52,54
Alberto Martín,70.66666666666667,65,74,73
Kenan Karaman,21.333333333333332,18,24,22
Brandon Mechele,71.66666666666667,72,73,70
Philipp Max,68.66666666666667,69,73,64
Mohamed Abdul Shafy,70.0,72,70,68
Kevin Möhwald,45.333333333333336,31,56,49
Pere Pons,70.66666666666667,65,72,75
Carlos Hernández,71.0,73,71,69
Tom Lawrence,29.0,33,35,19
Ibrahim Amadou,70.33333333333333,66,74,71
Pavel Mogilevets,71.66666666666667,71,69,75
Elsinho,67.66666666666667,70,69,64
Wanderson,19.0,13,20,24
José Mari,72.0,67,74,75
David Accam,29.0,29,33,25
Nicolás Martínez,39.0,35,33,49
Haitam Aleesami,69.66666666666667,67,72,70
Fouad Chafik,73.0,77,72,70
Albert Rusnák,32.666666666666664,38,34,26
Rui Silva,18.666666666666668,19,10,27
Filippo Falco,25.333333333333332,23,22,31
Cristian Pellerano,72.33333333333333,69,70,78
Hélder Lopes,71.66666666666667,72,75,68
Hany Mukhtar,42.0,43,40,43
Joris van Overeem,50.666666666666664,50,55,47
Maciej Gajos,50.333333333333336,43,46,62
Christian Günter,71.0,71,72,70
Siebe Schrijvers,48.333333333333336,51,53,41
Joey Pelupessy,69.66666666666667,63,70,76
Milan Vilotić,71.33333333333333,74,77,63
Branimir Hrgota,20.666666666666668,17,28,17
Nabil Ghilas,31.0,26,25,42
Ádám Gyurcsó,24.333333333333332,22,17,34
Lorenzo Lollo,57.666666666666664,55,59,59
Jehad Al Hussien,50.333333333333336,47,48,56
Fahad Al Muwallad,34.333333333333336,28,30,45
Harrison Henao,70.33333333333333,70,68,73
Óscar Plano,30.0,26,30,34
Peter Ankersen,67.66666666666667,67,69,67
Andrew Wooten,27.0,19,33,29
Ibrahima Cissé,71.0,70,72,71
Bryan Cristante,64.66666666666667,65,69,60
Patrick,72.66666666666667,72,74,72
Ju Se Jong,59.666666666666664,47,65,67
Leandro Fernández,22.333333333333332,16,17,34
Tom Rogić,35.333333333333336,39,40,27
Alexander González,60.0,55,60,65
Ryan Fraser,38.333333333333336,37,43,35
Syam Ben Youssef,70.33333333333333,71,72,68
Giannis Skondras,73.33333333333333,75,74,71
Emil Krafth,72.0,74,74,68
Kenneth Omeruo,69.33333333333333,69,70,69
Robin Olsen,16.0,17,12,19
Marcus Rohdén,61.0,56,66,61
Slobodan Medojević,73.0,72,74,73
Alexis Henríquez,69.0,65,74,68
Stef Peeters,55.666666666666664,54,56,57
Kevin Stewart,71.66666666666667,71,73,71
Jack Grealish,32.333333333333336,30,30,37
Nir Bitton,72.66666666666667,72,74,72
Iván López,72.33333333333333,74,73,70
André Biyogo Poko,70.0,65,72,73
Eric Mathoho,72.33333333333333,73,76,68
Edgar Salli,25.0,22,31,22
Alessio Cragno,14.0,12,11,19
Lenny Nangis,18.333333333333332,18,18,19
André Sousa,68.33333333333333,65,65,75
Luca Ceppitelli,73.33333333333333,75,75,70
Luca Antei,73.33333333333333,73,75,72
Niclas Füllkrug,23.666666666666668,17,30,24
Djaniny,31.0,21,25,47
Gonzalo Espinoza,65.33333333333333,61,65,70
Guillaume Hubert,16.0,14,16,18
Filip Novák,69.33333333333333,68,71,69
Oscar Lewicki,74.66666666666667,74,70,80
Rachid Alioui,16.0,11,19,18
Dieumerci Ndongala,30.333333333333332,24,29,38
Clerc,68.33333333333333,71,68,66
Rafael Baca,70.0,69,70,71
Renato Ibarra,48.0,40,48,56
Philipp Hosiner,16.666666666666668,17,20,13
Luis Advíncula,66.66666666666667,70,68,62
Stefano Marzo,72.33333333333333,71,71,75
Gervasio Núñez,40.0,34,38,48
Tomer Hemed,28.666666666666668,15,37,34
Edgar Badía,16.333333333333332,15,12,22
Stelios Kitsiou,68.66666666666667,68,68,70
Tommy Smith,69.33333333333333,69,72,67
Leonardo Blanchard,71.66666666666667,73,74,68
Nuno Henrique,73.0,67,77,75
David Pavelka,67.33333333333333,65,69,68
Jamaal Lascelles,70.66666666666667,70,72,70
Ismaël Diomandé,71.33333333333333,69,72,73
Britt Assombalonga,38.666666666666664,32,36,48
Luccas Claro,70.0,70,74,66
Héctor,70.0,72,70,68
Yun Il Lok,42.333333333333336,23,44,60
Thulani Serero,64.0,48,67,77
Alexander Milošević,70.33333333333333,68,73,70
Jean-Christophe Bahebeck,26.0,23,21,34
Tom Carroll,52.0,47,54,55
Danny da Costa,68.0,73,71,60
Martos,74.66666666666667,72,75,77
Hernán,72.0,71,75,70
Aden Flint,72.0,73,74,69
Stuart Armstrong,62.0,59,62,65
Justin Meram,59.333333333333336,59,66,53
Ergys Kace,70.0,64,73,73
Moses Odubajo,70.0,70,73,67
Alfredo Morales,68.33333333333333,68,67,70
José Luis Fernández,56.0,51,47,70
Luis Carlos Arias,57.0,52,61,58
Nicolas Benezet,26.666666666666668,30,22,28
Alfred Gomis,15.0,10,14,21
Alexander Søderlund,32.666666666666664,23,31,44
Simon Thern,43.333333333333336,36,42,52
Juan Sánchez Miño,48.666666666666664,37,42,67
Andreas Cornelius,22.0,12,26,28
Attila Fiola,71.66666666666667,76,73,66
Marco Capuano,71.33333333333333,72,72,70
Uffe Bech,16.0,14,16,18
Sami,27.666666666666668,20,23,40
Cristiano Biraghi,73.33333333333333,71,72,77
Mohammed Abu,67.33333333333333,65,69,68
Frederik Sørensen,77.33333333333333,76,80,76
Robert Žulj,27.666666666666668,30,25,28
Christian Gytkjær,22.333333333333332,19,16,32
Frederik Rønnow,12.0,13,11,12
Kasper Kusk,32.666666666666664,28,31,39
Ledian Memushaj,65.0,62,62,71
Errasti,72.66666666666667,69,74,75
Mickaël Le Bihan,45.0,39,40,56
Taras Burlak,72.66666666666667,70,76,72
Rafael Martins,20.666666666666668,15,27,20
Benjamin Corgnet,54.0,42,49,71
Deniz Yılmaz,30.666666666666668,19,37,36
Mihai Răduţ,41.0,48,53,22
Bruno Uvini,71.0,67,71,75
Isaac Cuenca,29.0,27,33,27
Christopher Schindler,71.0,69,73,71
Camilo,33.333333333333336,33,38,29
Luis Pedro Cavanda,70.66666666666667,70,71,71
Mike te Wierik,72.66666666666667,72,72,74
Adama Soumaoro,69.66666666666667,70,72,67
Michael Esser,24.333333333333332,28,15,30
Nicolai Boilesen,72.33333333333333,75,70,72
Miloš Kosanović,72.0,70,73,73
Ahmet İlhan Özek,22.0,16,18,32
Léo Lacroix,71.0,71,76,66
Lars Unnerstall,17.666666666666668,15,17,21
Romain Métanire,69.66666666666667,72,70,67
Balázs Megyeri,12.0,14,12,10
Taulant Xhaka,70.0,73,69,68
Michael Gregoritsch,37.0,38,40,33
Matías Aguirregaray,69.33333333333333,70,70,68
Pablo Chavarría,37.666666666666664,48,37,28
Mathieu Duhamel,28.333333333333332,22,25,38
Marc Rzatkowski,60.333333333333336,52,57,72
Manuel Riemann,18.0,12,14,28
Anthony Losilla,67.33333333333333,64,68,70
Amir Abrashi,75.0,77,75,73
Ji Dong Won,36.333333333333336,20,40,49
Álex Fernández,55.666666666666664,49,59,59
Mehmet Batdal,24.666666666666668,21,32,21
Dennis Appiah,72.33333333333333,75,73,69
Sergey Tkachev,30.0,28,37,25
Isaac Cofie,75.33333333333333,70,77,79
Uroš Ćosić,74.33333333333333,74,78,71
Raoul Cedric Loé,74.33333333333333,63,84,76
Carlos Ruiz,69.33333333333333,63,72,73
Johan Larsson,67.33333333333333,69,64,69
George Thorne,68.33333333333333,67,73,65
Bryan Oviedo,70.33333333333333,70,72,69
Greg Cunningham,69.33333333333333,68,74,66
Marcel Büchel,64.66666666666667,62,62,70
Damian Dąbrowski,71.66666666666667,65,71,79
Alex,27.333333333333332,31,28,23
Yann-Erik de Lanlay,52.0,53,54,49
Pajtim Kasami,60.666666666666664,56,60,66
Juninho,66.0,65,66,67
Dejan Lazarević,34.333333333333336,32,36,35
Nuno Reis,70.33333333333333,69,75,67
Oscar Boniek García,54.0,50,58,54
Baena,75.66666666666667,70,80,77
Mathew Leckie,24.0,12,30,30
Rizvan Utsiev,72.66666666666667,74,75,69
Cristian Erbes,73.33333333333333,73,71,76
Ryan Mendes,19.333333333333332,18,21,19
Diego Contento,73.33333333333333,74,76,70
Fuentes,72.33333333333333,75,70,72
Rafał Gikiewicz,13.0,13,14,12
May Mahlangu,58.333333333333336,53,56,66
Dorian Lévêque,73.0,74,73,72
Flavio Paixão,27.0,21,17,43
Adam Forshaw,54.666666666666664,54,53,57
Portillo,47.666666666666664,46,49,48
Izet Hajrović,42.333333333333336,38,41,48
Juan Domínguez,66.0,59,63,76
Cauê,70.0,68,71,71
Žarko Tomašević,71.33333333333333,72,71,71
Vasco Regini,77.66666666666667,77,79,77
Marcel Correia,73.0,73,74,72
Diego Novaretti,74.33333333333333,70,76,77
Douglas,69.66666666666667,73,69,67
Andile Jali,66.33333333333333,52,72,75
Fabian Giefer,15.0,15,12,18
Aleksandar Ignjovski,75.66666666666667,78,76,73
Ben Marshall,64.33333333333333,67,69,57
Iván Pillud,68.33333333333333,71,70,64
Bram Nuytinck,71.33333333333333,71,74,69
Matthieu Saunier,75.0,76,72,77
Mateusz Klich,45.333333333333336,35,44,57
Mustapha Diallo,71.0,71,69,73
Fabián Rinaudo,75.0,79,72,74
Mauro Formica,28.666666666666668,29,24,33
Mads Fenger,72.33333333333333,73,75,69
Rene Krhin,71.33333333333333,59,80,75
Takeshi Aoki,69.0,66,70,71
Salman Al Faraj,68.0,67,74,63
Cyriac,26.0,26,28,24
Rhayner,37.0,32,38,41
Adam Smith,70.66666666666667,70,72,70
Callum McManaman,20.0,14,17,29
Eugenio Lamanna,13.666666666666666,13,14,14
Diego Álvarez,25.0,20,17,38
Danijel Aleksić,34.666666666666664,36,35,33
Ike Opara,68.33333333333333,67,68,70
Yassine El Ghanassy,32.666666666666664,28,39,31
Nenad Krstičić,69.66666666666667,67,75,67
Daniel Opare,68.33333333333333,69,68,68
Bernard Parker,24.666666666666668,24,19,31
Enock Kofi Adu,66.0,55,72,71
Soni Mustivar,70.66666666666667,67,71,74
Guedes,29.333333333333332,31,32,25
Stoppila Sunzu,70.0,72,71,67
Mamadou Samassa,14.0,12,11,19
Ali Gadzhibekov,72.66666666666667,69,75,74
Marcelo Toscano,51.0,50,47,56
Samuel Armenteros,30.0,23,36,31
Ramalho,73.0,78,75,66
Lillo,74.33333333333333,78,70,75
Davy Claude Angan,25.666666666666668,21,24,32
Víctor Vázquez,35.333333333333336,22,32,52
Aridane,69.66666666666667,72,70,67
Candeias,43.0,43,44,42
Junior Hoilett,30.333333333333332,25,26,40
Artur Sobiech,29.333333333333332,24,32,32
Junior Stanislas,38.666666666666664,29,27,60
Cristian Pasquato,13.666666666666666,15,15,11
Lorenzo Ariaudo,73.0,72,75,72
Florian Jungwirth,74.0,74,70,78
Jens Hegeler,70.66666666666667,67,76,69
Samuel Souprayen,72.0,74,72,70
Néstor Calderón,58.0,55,58,61
Francesco Renzetti,67.33333333333333,67,68,67
Libor Kozák,26.333333333333332,29,21,29
Michael Morrison,71.0,73,73,67
Johannes Flum,69.66666666666667,64,71,74
Semir Štilić,24.333333333333332,25,25,23
Marvin Martin,54.0,35,59,68
Bruno Ecuélé Manga,74.0,73,72,77
Lex Immers,62.0,60,67,59
Adama Valentin Diomande,20.666666666666668,12,17,33
Artem Kravets,40.0,34,32,54
Ondřej Čelůstka,73.0,70,75,74
Edwin Hernández,70.33333333333333,72,70,69
Sergey Pesyakov,15.333333333333334,12,15,19
David Meyler,64.33333333333333,60,68,65
Jiloan Hamad,45.333333333333336,43,47,46
Carlos Peña,67.33333333333333,64,69,69
Israel Jiménez,71.66666666666667,70,72,73
Ashley Barnes,40.0,39,46,35
Tsepo Masilela,69.33333333333333,73,72,63
Güray Vural,65.66666666666667,64,68,65
Tamás Kádár,70.66666666666667,69,73,70
Nicolás Peric,18.666666666666668,17,13,26
Juan Cala,72.0,71,70,75
Salustiano Candia,70.66666666666667,71,75,66
Tommy Smith,70.33333333333333,69,74,68
Rodolfo Cota,13.0,12,13,14
Denis Odoi,68.66666666666667,70,68,68
Vasco Fernandes,70.0,68,73,69
Panagiotis Glykos,13.0,12,13,14
Chris Martin,40.333333333333336,34,40,47
Nicolás Sánchez,70.66666666666667,71,73,68
Michiel Kramer,31.333333333333332,34,32,28
Ádám Bogdán,17.0,16,11,24
Julien Cétout,70.66666666666667,68,72,72
Luis Ardente,11.666666666666666,12,13,10
Sergio Tejera,67.33333333333333,68,69,65
Lasse Vibe,31.0,23,36,34
Vincent Nogueira,62.333333333333336,59,61,67
Mohammed Abdellaoue,33.333333333333336,23,35,42
Jean-Armel Kana-Biyik,68.66666666666667,66,71,69
Ima Faneva Andriatsima,26.333333333333332,18,19,42
Avdija Vršajevič,70.33333333333333,70,72,69
Jonathan Hogg,71.0,72,72,69
James Henry,36.0,28,44,36
Davide Di Gennaro,55.333333333333336,47,60,59
Steeven Langil,33.333333333333336,39,27,34
Guy-Roland Ndy Assembe,17.0,17,14,20
Casado,71.66666666666667,75,70,70
David González,15.666666666666666,12,11,24
Jan Morávek,57.666666666666664,55,58,60
Krisztián Németh,33.0,29,33,37
Fedor Kudryashov,72.33333333333333,71,74,72
Rincón,75.0,70,72,83
Aly Cissokho,73.33333333333333,77,77,66
Rasmus Bengtsson,75.0,78,76,71
Damien Marcq,72.33333333333333,70,72,75
Carlão,71.0,72,70,71
Ceyhun Gülselam,72.0,70,73,73
Lulinha,34.0,33,31,38
Ragnar Sigurðsson,72.0,71,71,74
Zoltán Stieber,31.333333333333332,32,31,31
Maurice Edu,68.0,71,70,63
Miguel Samudio,67.66666666666667,71,68,64
Bakary Sako,36.0,35,33,40
George Boyd,60.333333333333336,59,63,59
Taras Mykhalyk,73.33333333333333,75,71,74
Alex Pearce,70.33333333333333,70,72,69
Gilles Cioni,73.66666666666667,75,72,74
Wout Brama,70.0,69,71,70
Scott Arfield,63.0,60,64,65
Nenê,24.0,22,30,20
Seth De Witte,67.66666666666667,65,69,69
Romain Brégerie,69.0,70,71,66
Mehmet Güven,69.33333333333333,65,71,72
Mario Vrančić,49.666666666666664,35,56,58
Ángel,23.0,20,23,26
Carlos Felipe Rodríguez,17.666666666666668,19,20,14
Timothy Derijck,69.66666666666667,68,69,72
Manuel da Costa,70.66666666666667,69,73,70
Suso Santana,53.0,51,59,49
Gustav Svensson,76.33333333333333,75,73,81
Ruben Yttergård Jenssen,60.333333333333336,51,61,69
Nuno Coelho,72.66666666666667,68,72,78
Patrick Ebert,57.0,49,55,67
Tobias Werner,50.0,36,49,65
Mark Milligan,69.33333333333333,73,75,60
Hugo Droguett,40.333333333333336,31,36,54
Máyer Candelo,43.333333333333336,36,38,56
McDonald Mariga,72.0,68,72,76
Sebastian Boenisch,70.33333333333333,71,73,67
Marcin Robak,28.0,24,19,41
Zlatan Ljubijankič,50.333333333333336,54,49,48
Thomas Matton,41.666666666666664,38,35,52
Samir Ujkani,10.333333333333334,10,11,10
Sébastien Siani,69.0,65,69,73
Constant Djakpa,70.0,73,72,65
Pablo Barrera,45.333333333333336,37,51,48
Ramón Fernández,57.666666666666664,59,55,59
Adrian Mariappa,73.33333333333333,79,76,65
Lee Tomlin,38.333333333333336,33,36,46
Ramon Leeuwin,70.33333333333333,69,70,72
Matteo Ardemagni,13.333333333333334,11,14,15
Joey van den Berg,71.33333333333333,72,71,71
Matías Fritzler,80.33333333333333,76,82,83
Gonzalo Bergessio,28.0,30,29,25
Bilal Kısa,56.666666666666664,53,59,58
Luso,76.33333333333333,71,80,78
Carpio,73.66666666666667,76,74,71
Toquero,53.333333333333336,47,56,57
Pablo Granoche,22.0,24,27,15
Miku,33.0,37,37,25
Hugo Vieira,23.333333333333332,19,28,23
Sam Hutchinson,73.0,75,71,73
Andreas Ulmer,71.0,73,71,69
Aldo Leão Ramírez,66.33333333333333,65,66,68
Carmona,45.333333333333336,37,44,55
Issiar Dia,16.333333333333332,14,19,16
Marcelo Oliveira,71.33333333333333,68,71,75
Nsue,66.33333333333333,71,64,64
Adem Büyük,25.333333333333332,20,19,37
Jorge Torres Nilo,71.66666666666667,71,74,70
Oscar Ustari,17.666666666666668,13,12,28
Gökhan Değirmenci,21.0,22,19,22
Marc Pugh,37.333333333333336,31,44,37
Alexandr Bukharov,30.0,28,28,34
Molinero,68.33333333333333,73,65,67
Cristian Villagra,71.33333333333333,73,71,70
Stephen Ward,72.66666666666667,73,72,73
Édouard Duplan,51.333333333333336,47,55,52
Edinho,31.666666666666668,33,25,37
Steven Fletcher,24.0,14,22,36
