Name,Shooting,Heading,Weak_foot,Shot_Power,Finishing,Long_Shots,Freekick_Accuracy,Penalties
Ariel Rojas,58.42857142857143,62.0,3.0,74.0,66.0,73.0,65.0,66.0
Valentino Lazaro,56.285714285714285,48.0,3.0,72.0,67.0,73.0,64.0,67.0
Paulinho,41.714285714285715,48.0,3.0,57.0,32.0,35.0,70.0,47.0
Julio Tavares,55.0,74.0,2.0,71.0,73.0,67.0,30.0,68.0
Salem Al Dawsari,54.285714285714285,56.0,4.0,70.0,63.0,65.0,60.0,62.0
Sokol Cikalleshi,56.57142857142857,73.0,4.0,74.0,75.0,68.0,47.0,55.0
Jordan Ikoko,35.285714285714285,54.0,2.0,34.0,30.0,36.0,42.0,49.0
Dimitris Diamantakos,58.285714285714285,69.0,2.0,77.0,72.0,69.0,54.0,65.0
Salman Muwashar,54.0,39.0,3.0,75.0,60.0,68.0,66.0,67.0
Mohammed Jahfali,35.0,70.0,3.0,42.0,34.0,36.0,24.0,36.0
Mikel Agu,40.714285714285715,65.0,3.0,55.0,41.0,40.0,35.0,46.0
Yassine Bounou,16.857142857142858,14.0,3.0,25.0,14.0,19.0,19.0,24.0
Jakob Busk,12.142857142857142,10.0,2.0,25.0,10.0,14.0,12.0,12.0
Quini,48.142857142857146,54.0,4.0,49.0,62.0,58.0,52.0,58.0
Bryan Rabello,54.714285714285715,39.0,4.0,68.0,60.0,70.0,72.0,70.0
Birama Touré,45.142857142857146,46.0,3.0,66.0,36.0,66.0,46.0,53.0
Hussain Al Moqahwi,53.857142857142854,65.0,4.0,63.0,67.0,68.0,61.0,49.0
Nicolas Verdier,57.57142857142857,68.0,4.0,79.0,70.0,72.0,46.0,64.0
Philipp Ziereis,31.428571428571427,71.0,3.0,40.0,24.0,21.0,28.0,33.0
Ibrahim Ghaleb,55.714285714285715,60.0,4.0,68.0,61.0,70.0,58.0,69.0
Omar Ibrahim Othman,32.142857142857146,71.0,3.0,40.0,20.0,32.0,26.0,33.0
Robin Himmelmann,12.714285714285714,13.0,2.0,22.0,9.0,7.0,16.0,20.0
Alfie Mawson,37.285714285714285,76.0,3.0,53.0,52.0,21.0,24.0,32.0
Fabian Holland,46.0,65.0,2.0,59.0,38.0,50.0,59.0,49.0
Mariusz Stępiński,53.142857142857146,71.0,4.0,68.0,74.0,59.0,34.0,62.0
Dimitrios Kourbelis,46.142857142857146,55.0,3.0,60.0,40.0,58.0,50.0,57.0
Samuele Longo,55.142857142857146,65.0,3.0,73.0,74.0,64.0,43.0,64.0
Anastasios Bakasetas,61.857142857142854,72.0,4.0,77.0,71.0,78.0,68.0,63.0
Edin Cocalić,38.285714285714285,74.0,3.0,53.0,28.0,32.0,36.0,42.0
Darko Jevtić,54.714285714285715,50.0,3.0,68.0,68.0,65.0,66.0,63.0
Lars Veldwijk,57.857142857142854,74.0,3.0,82.0,71.0,66.0,33.0,76.0
Lucas Torró,46.285714285714285,61.0,3.0,48.0,53.0,50.0,52.0,57.0
Boubacar Fofana,52.42857142857143,69.0,3.0,75.0,48.0,72.0,48.0,52.0
Stéphane Badji,49.714285714285715,67.0,3.0,76.0,47.0,66.0,43.0,46.0
Lucas Lima,53.42857142857143,41.0,3.0,75.0,53.0,76.0,70.0,56.0
Kaan Ayhan,53.285714285714285,65.0,4.0,83.0,35.0,63.0,76.0,47.0
Facundo Pereyra,58.714285714285715,63.0,2.0,74.0,73.0,68.0,69.0,62.0
Ethan Finlay,51.857142857142854,58.0,3.0,71.0,64.0,60.0,49.0,58.0
Fernando Barrientos,50.285714285714285,49.0,3.0,76.0,42.0,74.0,58.0,50.0
Felipe,52.857142857142854,33.0,3.0,73.0,58.0,70.0,68.0,65.0
Juan Carlos Paredes,42.42857142857143,57.0,3.0,66.0,33.0,59.0,27.0,52.0
Leandro Trossard,56.0,52.0,3.0,67.0,70.0,71.0,67.0,62.0
Roman Bezus,53.142857142857146,66.0,3.0,65.0,66.0,70.0,46.0,56.0
Patrick Bamford,54.42857142857143,68.0,3.0,67.0,74.0,62.0,38.0,69.0
Laurent Jans,46.0,60.0,3.0,65.0,39.0,54.0,52.0,49.0
Enver Cenk Şahin,46.57142857142857,46.0,2.0,53.0,64.0,46.0,58.0,57.0
Jacopo Dezi,49.0,52.0,3.0,59.0,62.0,60.0,55.0,52.0
Roman Emelyanov,50.142857142857146,57.0,3.0,61.0,51.0,64.0,55.0,60.0
Nicola Murru,38.857142857142854,63.0,3.0,57.0,23.0,40.0,39.0,47.0
Téji Savanier,55.857142857142854,50.0,3.0,72.0,52.0,69.0,75.0,70.0
Fran Carbia,53.0,62.0,3.0,57.0,69.0,63.0,57.0,60.0
Moussa Kone,56.285714285714285,69.0,3.0,71.0,60.0,65.0,59.0,67.0
Cristóbal Jorquera,57.57142857142857,50.0,5.0,74.0,65.0,73.0,70.0,66.0
Jordon Ibe,47.42857142857143,35.0,4.0,79.0,65.0,68.0,24.0,57.0
Valerio Verre,51.714285714285715,53.0,4.0,73.0,51.0,68.0,58.0,55.0
Anthony Lozano,53.0,70.0,3.0,63.0,74.0,66.0,28.0,67.0
Sebastián Sosa,15.0,14.0,3.0,22.0,10.0,18.0,16.0,22.0
Rob Schoofs,54.0,53.0,3.0,71.0,57.0,69.0,72.0,53.0
Anthony Koura,52.42857142857143,61.0,3.0,72.0,71.0,63.0,43.0,54.0
Jeff Louis,57.142857142857146,53.0,2.0,83.0,64.0,71.0,66.0,61.0
Naïm Sliti,54.714285714285715,49.0,3.0,67.0,66.0,62.0,66.0,70.0
Adriano Facchini,14.428571428571429,14.0,2.0,20.0,12.0,11.0,12.0,30.0
John Egan,45.0,72.0,3.0,62.0,43.0,52.0,29.0,54.0
Prince Désir Gouano,30.285714285714285,66.0,2.0,42.0,20.0,23.0,26.0,33.0
Youssef Toutouh,51.714285714285715,63.0,3.0,66.0,63.0,63.0,59.0,45.0
Brighton Mhlongo,13.285714285714286,12.0,3.0,19.0,12.0,14.0,13.0,20.0
Salim Khelifi,49.285714285714285,38.0,3.0,65.0,60.0,68.0,62.0,49.0
Oriol Rosell,48.42857142857143,60.0,4.0,68.0,51.0,65.0,42.0,49.0
Kenneth Otigba,37.57142857142857,75.0,3.0,59.0,31.0,32.0,28.0,35.0
Hervías,46.142857142857146,43.0,3.0,57.0,62.0,58.0,49.0,51.0
Maxime Dupé,12.428571428571429,13.0,3.0,21.0,10.0,11.0,11.0,18.0
Raphael Holzhauser,59.714285714285715,63.0,3.0,78.0,68.0,69.0,69.0,68.0
Koray Günter,34.142857142857146,69.0,3.0,50.0,23.0,31.0,26.0,37.0
Gabriel Achilier,26.714285714285715,69.0,2.0,16.0,18.0,17.0,30.0,35.0
Paul Dummett,40.714285714285715,72.0,2.0,40.0,41.0,35.0,52.0,43.0
Adam Reach,49.857142857142854,55.0,3.0,68.0,63.0,63.0,42.0,55.0
Rafał Wolski,50.857142857142854,48.0,3.0,73.0,59.0,61.0,67.0,45.0
Clément Tainmont,53.57142857142857,40.0,3.0,76.0,63.0,71.0,68.0,54.0
Bruno Zuculini,54.714285714285715,58.0,3.0,80.0,55.0,59.0,48.0,80.0
Lucas Aveldaño,46.285714285714285,76.0,3.0,71.0,51.0,43.0,18.0,62.0
Engin Bekdemir,56.714285714285715,40.0,3.0,74.0,64.0,74.0,81.0,61.0
Jon Toral,53.0,59.0,4.0,71.0,65.0,64.0,59.0,49.0
Gaëtan Courtet,58.714285714285715,71.0,3.0,69.0,72.0,65.0,70.0,61.0
Cristian Galano,52.857142857142854,43.0,2.0,66.0,61.0,70.0,72.0,56.0
Massimo Bruno,53.0,55.0,3.0,64.0,63.0,64.0,67.0,55.0
Ayanda Patosi,56.285714285714285,49.0,4.0,69.0,62.0,71.0,74.0,65.0
Joe Bryan,52.714285714285715,67.0,4.0,56.0,61.0,61.0,57.0,63.0
Benjamin Kessel,51.857142857142854,77.0,3.0,65.0,58.0,42.0,51.0,67.0
Leandro,52.714285714285715,62.0,4.0,71.0,68.0,66.0,30.0,68.0
Thiago Galhardo,58.142857142857146,66.0,3.0,71.0,68.0,67.0,66.0,66.0
Yu Sang Hun,15.857142857142858,19.0,3.0,18.0,19.0,14.0,13.0,25.0
Dimitri Foulquier,43.285714285714285,56.0,3.0,59.0,47.0,49.0,40.0,49.0
Tim Kister,33.714285714285715,74.0,3.0,52.0,21.0,27.0,26.0,33.0
Diego Chará,52.857142857142854,52.0,4.0,72.0,56.0,57.0,62.0,67.0
Isaías,48.42857142857143,37.0,3.0,65.0,49.0,58.0,77.0,50.0
Connor Ripley,13.285714285714286,14.0,3.0,20.0,11.0,20.0,11.0,14.0
James Tarkowski,34.857142857142854,72.0,4.0,33.0,21.0,23.0,57.0,34.0
Nahki Wells,56.714285714285715,62.0,4.0,67.0,70.0,68.0,65.0,61.0
Etiënne Reijnen,34.142857142857146,70.0,3.0,50.0,18.0,24.0,30.0,44.0
Jair,57.42857142857143,61.0,3.0,65.0,75.0,64.0,69.0,65.0
Rodrigo Ely,31.285714285714285,68.0,2.0,43.0,15.0,38.0,18.0,35.0
Thomas Bruns,52.142857142857146,56.0,3.0,69.0,64.0,65.0,60.0,48.0
Jon Flanagan,35.42857142857143,62.0,3.0,35.0,43.0,32.0,26.0,47.0
Erik Morán,42.57142857142857,56.0,3.0,61.0,37.0,48.0,47.0,46.0
Gustav Wikheim,41.285714285714285,37.0,4.0,66.0,65.0,53.0,33.0,31.0
Massadio Haïdara,50.285714285714285,59.0,3.0,79.0,41.0,45.0,70.0,55.0
Kevin Kraus,38.57142857142857,71.0,3.0,64.0,21.0,35.0,29.0,47.0
Andre Wisdom,32.857142857142854,72.0,3.0,34.0,24.0,28.0,26.0,43.0
Bruno Martella,44.0,44.0,2.0,65.0,50.0,71.0,43.0,33.0
Elias Kachunga,56.57142857142857,68.0,3.0,72.0,73.0,66.0,46.0,68.0
Sebastian Lletget,50.142857142857146,55.0,5.0,67.0,61.0,54.0,51.0,58.0
Hannes Van Der Bruggen,53.57142857142857,58.0,4.0,71.0,54.0,67.0,63.0,58.0
Toni Šunjić,39.857142857142854,77.0,3.0,64.0,24.0,28.0,33.0,50.0
Nicola Leali,14.428571428571429,11.0,2.0,24.0,13.0,17.0,17.0,17.0
Thibault Moulin,57.714285714285715,62.0,4.0,72.0,55.0,70.0,69.0,72.0
Sergey Bryzgalov,39.142857142857146,67.0,4.0,60.0,36.0,41.0,32.0,34.0
Maxime Colin,34.0,59.0,3.0,60.0,20.0,26.0,29.0,41.0
João Diogo,42.714285714285715,52.0,3.0,61.0,51.0,51.0,40.0,41.0
Jeffrey Schlupp,49.857142857142854,62.0,2.0,74.0,56.0,53.0,34.0,68.0
Denys Oliynyk,54.142857142857146,64.0,2.0,67.0,55.0,54.0,67.0,70.0
Giannis Maniatis,53.285714285714285,62.0,3.0,70.0,53.0,62.0,58.0,65.0
Gaztañaga,34.285714285714285,56.0,3.0,42.0,38.0,31.0,34.0,36.0
Diogo Amado,54.714285714285715,58.0,3.0,64.0,51.0,69.0,68.0,70.0
Barry Douglas,53.42857142857143,65.0,3.0,66.0,35.0,58.0,78.0,69.0
Benito Raman,58.857142857142854,66.0,3.0,69.0,70.0,72.0,67.0,65.0
Ibrahima Conté,44.0,40.0,4.0,57.0,44.0,52.0,57.0,54.0
Marcelo Silva,41.57142857142857,75.0,3.0,61.0,22.0,35.0,46.0,49.0
Graeme Shinnie,35.285714285714285,54.0,4.0,35.0,23.0,24.0,59.0,48.0
Roland Alberg,60.0,58.0,2.0,76.0,67.0,70.0,70.0,77.0
Michael Hector,39.57142857142857,59.0,3.0,68.0,40.0,51.0,12.0,44.0
Florian Jozefzoon,45.857142857142854,35.0,4.0,63.0,61.0,52.0,42.0,64.0
Atınç Nukan,39.857142857142854,75.0,3.0,68.0,29.0,24.0,39.0,41.0
Nicolas Höfler,44.857142857142854,61.0,3.0,62.0,41.0,49.0,48.0,50.0
Mustafa Yumlu,38.857142857142854,78.0,2.0,62.0,32.0,30.0,24.0,44.0
André Hoffmann,38.714285714285715,72.0,2.0,61.0,29.0,34.0,31.0,42.0
Daniel Royer,50.142857142857146,53.0,3.0,66.0,61.0,62.0,61.0,45.0
Marco Torsiglieri,46.42857142857143,74.0,3.0,58.0,39.0,35.0,55.0,61.0
Maikel Kieftenbeld,55.857142857142854,59.0,3.0,77.0,58.0,74.0,62.0,58.0
Jesús Sánchez,49.857142857142854,60.0,3.0,65.0,52.0,57.0,52.0,60.0
Bekim Balaj,56.285714285714285,82.0,4.0,74.0,70.0,56.0,52.0,56.0
Joffrey Cuffaut,38.0,64.0,3.0,30.0,33.0,30.0,50.0,56.0
Giulio Ebagua,57.285714285714285,69.0,4.0,73.0,70.0,59.0,58.0,68.0
Tobias Kempe,56.714285714285715,50.0,3.0,74.0,61.0,71.0,75.0,63.0
Ákos Elek,51.42857142857143,50.0,3.0,65.0,64.0,66.0,54.0,58.0
Michiel Jonckheere,52.142857142857146,59.0,3.0,66.0,57.0,64.0,61.0,55.0
Alexander Domínguez,14.142857142857142,11.0,3.0,25.0,18.0,13.0,11.0,18.0
Luis Marín,15.714285714285714,6.0,3.0,22.0,12.0,21.0,23.0,23.0
Simone Romagnoli,34.142857142857146,74.0,2.0,43.0,21.0,34.0,27.0,38.0
Abraham,48.57142857142857,57.0,2.0,69.0,41.0,58.0,56.0,57.0
Bailey Wright,37.142857142857146,70.0,3.0,46.0,39.0,36.0,27.0,39.0
Fredrik Midtsjø,50.857142857142854,55.0,3.0,68.0,61.0,69.0,53.0,47.0
Alexandr Kolomeytsev,57.57142857142857,71.0,2.0,76.0,67.0,75.0,67.0,45.0
Nikola Đurđić,57.714285714285715,64.0,4.0,72.0,71.0,69.0,53.0,71.0
Cláudio Ramos,14.285714285714286,21.0,3.0,19.0,14.0,17.0,13.0,13.0
Mika,12.428571428571429,10.0,2.0,17.0,13.0,19.0,12.0,14.0
Paulus Arajuuri,32.42857142857143,69.0,2.0,46.0,36.0,24.0,30.0,20.0
Guitián,39.0,74.0,3.0,59.0,36.0,37.0,34.0,30.0
Steve Clark,13.714285714285714,11.0,3.0,13.0,12.0,15.0,17.0,25.0
Danny Williams,54.285714285714285,69.0,3.0,80.0,62.0,68.0,48.0,50.0
Stefan Šćepović,62.142857142857146,74.0,2.0,70.0,73.0,67.0,67.0,82.0
Osvaldo González,49.285714285714285,69.0,3.0,77.0,32.0,70.0,42.0,52.0
Eunan O'Kane,47.42857142857143,47.0,4.0,63.0,49.0,57.0,56.0,56.0
Diego Fabbrini,52.714285714285715,60.0,3.0,64.0,61.0,64.0,58.0,59.0
Ali Ahamada,16.714285714285715,38.0,2.0,19.0,12.0,13.0,12.0,21.0
Yasser Al Mosailem,14.857142857142858,13.0,2.0,22.0,14.0,19.0,14.0,20.0
Lars Vilsvik,57.57142857142857,66.0,5.0,77.0,59.0,64.0,68.0,64.0
Christophe Diandy,48.714285714285715,69.0,3.0,61.0,43.0,53.0,57.0,55.0
Jhasmani Campos,57.714285714285715,45.0,3.0,68.0,58.0,74.0,75.0,81.0
Babanco,53.57142857142857,58.0,3.0,80.0,50.0,67.0,72.0,45.0
José Manuel Velázquez,35.714285714285715,71.0,4.0,26.0,60.0,22.0,30.0,37.0
Stalin Motta,53.142857142857146,31.0,3.0,60.0,66.0,62.0,74.0,76.0
Rodrigo Millar,59.142857142857146,60.0,4.0,69.0,69.0,66.0,66.0,80.0
Ivan Ivanov,30.428571428571427,75.0,3.0,56.0,13.0,22.0,20.0,24.0
Marco Davide Faraoni,55.714285714285715,65.0,3.0,76.0,43.0,69.0,68.0,66.0
Radosav Petrović,52.285714285714285,67.0,2.0,77.0,56.0,71.0,46.0,47.0
Danny Batth,27.142857142857142,74.0,3.0,32.0,20.0,18.0,16.0,27.0
David Davis,51.714285714285715,63.0,3.0,72.0,59.0,65.0,53.0,47.0
Edgar Costa,57.57142857142857,58.0,3.0,72.0,67.0,73.0,69.0,61.0
Amara Baby,54.42857142857143,73.0,3.0,73.0,59.0,64.0,50.0,59.0
Javi Ros,53.42857142857143,41.0,4.0,78.0,53.0,73.0,67.0,58.0
Will Grigg,57.42857142857143,66.0,3.0,68.0,76.0,65.0,50.0,74.0
Abdoul Razzagui Camara,53.714285714285715,64.0,3.0,76.0,64.0,68.0,49.0,52.0
Isma López,48.57142857142857,48.0,3.0,73.0,49.0,59.0,59.0,49.0
Adam Matthews,48.142857142857146,58.0,3.0,69.0,43.0,62.0,52.0,50.0
Maximiliano Coronel,40.857142857142854,72.0,3.0,62.0,29.0,33.0,47.0,40.0
Loris Benito,43.714285714285715,51.0,3.0,61.0,41.0,53.0,41.0,56.0
Marin Leovac,42.142857142857146,45.0,3.0,70.0,33.0,56.0,55.0,33.0
Heinz Lindner,14.428571428571429,13.0,3.0,21.0,12.0,16.0,17.0,19.0
Marcelo Sarvas,54.0,66.0,4.0,76.0,54.0,65.0,55.0,58.0
Wes Foderingham,13.857142857142858,15.0,3.0,23.0,13.0,15.0,14.0,14.0
Diego Falcinelli,53.142857142857146,67.0,2.0,70.0,72.0,66.0,33.0,62.0
Charlison Benschop,61.42857142857143,65.0,3.0,83.0,71.0,66.0,68.0,74.0
Felipe,49.714285714285715,59.0,3.0,60.0,61.0,66.0,45.0,54.0
Oscar Jiménez,16.0,19.0,3.0,17.0,13.0,13.0,25.0,22.0
Archimede Morleo,49.285714285714285,52.0,2.0,70.0,44.0,64.0,63.0,50.0
Leandro Cabrera,39.42857142857143,76.0,3.0,42.0,23.0,35.0,48.0,49.0
Moritz Hartmann,60.0,69.0,4.0,75.0,73.0,68.0,47.0,84.0
Andreas Luthe,14.571428571428571,15.0,3.0,23.0,12.0,16.0,12.0,21.0
Fabian Klos,58.142857142857146,77.0,4.0,76.0,73.0,62.0,45.0,70.0
Sambou Yatabaré,53.857142857142854,57.0,3.0,69.0,64.0,62.0,58.0,64.0
Héctor Yuste,48.857142857142854,64.0,4.0,65.0,49.0,62.0,49.0,49.0
Hernán Bernardello,51.0,52.0,3.0,77.0,46.0,60.0,68.0,51.0
Baba Diawara,60.42857142857143,81.0,3.0,80.0,64.0,62.0,60.0,73.0
Lionn,48.0,57.0,3.0,71.0,49.0,58.0,47.0,51.0
Marcinho,59.0,46.0,3.0,68.0,68.0,73.0,77.0,78.0
Daniel Adejo,40.42857142857143,71.0,2.0,62.0,35.0,35.0,36.0,42.0
Evgeniy Makeev,47.42857142857143,67.0,3.0,56.0,46.0,53.0,46.0,61.0
Nabil Bahoui,58.42857142857143,48.0,4.0,78.0,70.0,73.0,68.0,68.0
Abdulmalek Al Khaibari,43.57142857142857,67.0,2.0,68.0,37.0,48.0,37.0,46.0
Hassan Muath Fallatah,56.857142857142854,57.0,2.0,82.0,56.0,63.0,67.0,71.0
Leandro Chichizola,15.571428571428571,17.0,3.0,17.0,16.0,17.0,14.0,25.0
Kléber,57.714285714285715,73.0,3.0,73.0,71.0,63.0,45.0,76.0
Leandro,58.142857142857146,68.0,3.0,75.0,76.0,74.0,42.0,69.0
Emil Salomonsson,52.142857142857146,43.0,2.0,82.0,48.0,56.0,63.0,71.0
Kamil Wilczek,55.285714285714285,73.0,3.0,66.0,72.0,63.0,43.0,67.0
Håvard Nielsen,51.714285714285715,54.0,4.0,76.0,72.0,64.0,36.0,56.0
Marco Terrazzino,53.0,51.0,3.0,66.0,62.0,66.0,64.0,59.0
Manuel Gulde,37.714285714285715,67.0,3.0,50.0,36.0,34.0,30.0,44.0
Hervé Bazile,58.857142857142854,64.0,3.0,69.0,73.0,65.0,73.0,65.0
Henrik Dalsgaard,45.857142857142854,57.0,3.0,62.0,65.0,50.0,32.0,52.0
Yoann Andreu,28.571428571428573,62.0,3.0,34.0,19.0,28.0,29.0,25.0
Franco Zuculini,49.857142857142854,57.0,3.0,71.0,52.0,58.0,60.0,48.0
Janusz Gol,54.0,69.0,4.0,66.0,63.0,51.0,63.0,62.0
André Hansen,13.285714285714286,13.0,2.0,17.0,12.0,13.0,19.0,17.0
Teemu Pukki,53.285714285714285,60.0,3.0,69.0,75.0,64.0,40.0,62.0
Mert Günok,14.571428571428571,14.0,2.0,24.0,15.0,15.0,16.0,16.0
Robert Gucher,53.285714285714285,47.0,2.0,69.0,53.0,74.0,67.0,61.0
Gennaro Scognamiglio,37.857142857142854,78.0,2.0,57.0,18.0,45.0,21.0,44.0
Georg Niedermeier,38.42857142857143,83.0,2.0,57.0,30.0,16.0,32.0,49.0
Lorenzo Del Prete,46.857142857142854,59.0,3.0,58.0,48.0,52.0,58.0,50.0
Migjen Basha,54.142857142857146,58.0,3.0,74.0,49.0,69.0,64.0,62.0
Aleksandar Prijović,53.57142857142857,70.0,3.0,67.0,74.0,63.0,43.0,55.0
Guido Marilungo,54.57142857142857,57.0,3.0,69.0,69.0,58.0,61.0,65.0
Reza Ghoochannejhad,55.142857142857146,59.0,3.0,66.0,74.0,65.0,54.0,65.0
Ruslan Kambolov,56.714285714285715,69.0,4.0,76.0,51.0,74.0,58.0,65.0
Guarrotxena,60.42857142857143,72.0,3.0,81.0,68.0,66.0,66.0,67.0
Bartosz Salamon,47.142857142857146,67.0,3.0,71.0,35.0,54.0,59.0,41.0
Maikon Leite,55.285714285714285,48.0,2.0,74.0,67.0,65.0,62.0,69.0
Mirko Boland,54.285714285714285,42.0,4.0,72.0,66.0,71.0,69.0,56.0
Fausto Rossi,52.142857142857146,52.0,3.0,61.0,51.0,69.0,70.0,59.0
Nathan Baker,34.142857142857146,72.0,2.0,61.0,30.0,19.0,20.0,35.0
Mattias Johansson,38.142857142857146,54.0,3.0,68.0,45.0,29.0,22.0,46.0
Thiago Cionek,29.714285714285715,62.0,3.0,31.0,22.0,26.0,25.0,39.0
Francesco Caputo,54.714285714285715,66.0,3.0,69.0,72.0,58.0,41.0,74.0
Ahmed Kashi,40.714285714285715,42.0,3.0,44.0,22.0,59.0,63.0,52.0
Mustafa Pektemek,59.0,72.0,3.0,68.0,71.0,67.0,61.0,71.0
Declan Rudd,16.571428571428573,14.0,3.0,12.0,12.0,19.0,13.0,43.0
Mehdi Abeid,55.142857142857146,44.0,3.0,75.0,67.0,70.0,65.0,62.0
Mirco Antenucci,57.285714285714285,55.0,4.0,71.0,72.0,59.0,66.0,74.0
Alan Baró,48.714285714285715,58.0,3.0,75.0,34.0,56.0,57.0,58.0
Aziz Bouhaddouz,59.714285714285715,72.0,4.0,73.0,74.0,66.0,55.0,74.0
Tommy Oar,50.714285714285715,31.0,4.0,73.0,53.0,63.0,70.0,61.0
Bakary Saré,47.0,66.0,3.0,72.0,62.0,58.0,35.0,33.0
Paulo Garcés,10.571428571428571,11.0,3.0,12.0,9.0,16.0,8.0,15.0
Zaur Sadaev,53.142857142857146,55.0,3.0,75.0,72.0,65.0,42.0,60.0
Jakob Jantscher,58.285714285714285,54.0,4.0,71.0,69.0,70.0,68.0,72.0
Enrique Pérez,42.857142857142854,66.0,3.0,61.0,44.0,48.0,32.0,46.0
Sean Morrison,34.142857142857146,71.0,2.0,52.0,22.0,18.0,27.0,47.0
Niall McGinn,57.285714285714285,62.0,4.0,67.0,67.0,61.0,73.0,67.0
Montoro,53.857142857142854,57.0,3.0,72.0,54.0,74.0,55.0,62.0
Roger Espinoza,57.857142857142854,70.0,5.0,81.0,62.0,69.0,58.0,60.0
Andy King,58.857142857142854,73.0,3.0,72.0,70.0,72.0,59.0,63.0
Matías Rodríguez,54.142857142857146,63.0,3.0,71.0,59.0,62.0,53.0,68.0
Fernando Navarro,49.42857142857143,43.0,2.0,68.0,45.0,67.0,57.0,64.0
Dušan Veškovac,43.857142857142854,68.0,3.0,61.0,36.0,44.0,43.0,52.0
László Köteles,17.714285714285715,13.0,2.0,24.0,12.0,14.0,15.0,44.0
Gilles Sunu,58.0,64.0,3.0,74.0,70.0,65.0,57.0,73.0
Dušan Kuciak,11.571428571428571,11.0,2.0,22.0,11.0,11.0,11.0,13.0
Massimo Coda,59.285714285714285,70.0,3.0,70.0,77.0,70.0,60.0,65.0
Elderson Echiéjilé,49.857142857142854,70.0,3.0,80.0,49.0,66.0,50.0,31.0
Nílton,61.42857142857143,76.0,3.0,81.0,69.0,76.0,72.0,53.0
Arnold Bouka Moutou,30.571428571428573,52.0,2.0,16.0,18.0,22.0,53.0,51.0
Mano,42.42857142857143,52.0,4.0,66.0,41.0,45.0,46.0,43.0
Denis Petric,14.142857142857142,11.0,3.0,25.0,12.0,14.0,12.0,22.0
Eduardo Herrera,58.57142857142857,74.0,3.0,76.0,73.0,62.0,51.0,71.0
Luis Montes,58.57142857142857,46.0,3.0,74.0,67.0,77.0,75.0,68.0
Tomasz Kupisz,50.42857142857143,58.0,3.0,70.0,36.0,65.0,59.0,62.0
Eric Lichaj,40.42857142857143,57.0,3.0,58.0,40.0,42.0,31.0,52.0
Alex Smithies,19.571428571428573,17.0,2.0,46.0,11.0,13.0,11.0,37.0
John Bostock,59.142857142857146,48.0,3.0,75.0,71.0,70.0,71.0,76.0
Riccardo Maniero,55.142857142857146,72.0,3.0,70.0,73.0,62.0,32.0,74.0
Giuseppe Bellusci,44.0,64.0,2.0,66.0,40.0,36.0,60.0,40.0
Brayan Angulo,43.0,38.0,3.0,70.0,51.0,59.0,46.0,34.0
Stefano Celozzi,39.57142857142857,44.0,3.0,56.0,46.0,23.0,63.0,42.0
Aarón Ñíguez,56.57142857142857,52.0,4.0,74.0,64.0,67.0,68.0,67.0
Ryan Bennett,31.142857142857142,73.0,2.0,26.0,24.0,20.0,25.0,48.0
Dirk Marcellis,37.42857142857143,70.0,3.0,59.0,20.0,25.0,24.0,61.0
Vagner,14.857142857142858,18.0,2.0,28.0,13.0,13.0,17.0,13.0
Sascha Mölders,56.57142857142857,74.0,3.0,75.0,70.0,57.0,52.0,65.0
Emanuele Terranova,36.857142857142854,67.0,3.0,66.0,21.0,14.0,22.0,65.0
Joshua John,51.142857142857146,53.0,5.0,65.0,65.0,63.0,45.0,62.0
Prince Oniangué,61.57142857142857,80.0,2.0,79.0,71.0,77.0,70.0,52.0
Mario Bolatti,60.0,73.0,3.0,79.0,64.0,73.0,61.0,67.0
Adlène Guédioura,57.57142857142857,64.0,4.0,84.0,63.0,75.0,56.0,57.0
Nicolò Cherubin,24.142857142857142,73.0,2.0,25.0,18.0,18.0,15.0,18.0
Jo Inge Berget,56.0,47.0,3.0,80.0,70.0,66.0,64.0,62.0
Jérémy Taravel,46.42857142857143,72.0,4.0,72.0,37.0,33.0,57.0,50.0
Kazenga LuaLua,60.0,60.0,4.0,83.0,65.0,76.0,68.0,64.0
Thuso Phala,55.285714285714285,59.0,3.0,61.0,71.0,68.0,60.0,65.0
Mark Beevers,42.142857142857146,75.0,2.0,53.0,36.0,27.0,57.0,45.0
Gaetano Berardi,41.0,57.0,2.0,65.0,26.0,55.0,42.0,40.0
Egidio Arévalo Ríos,48.285714285714285,45.0,4.0,63.0,51.0,55.0,56.0,64.0
Tim Matavž,59.285714285714285,74.0,4.0,72.0,75.0,66.0,55.0,69.0
Léo Silva,54.42857142857143,55.0,3.0,73.0,62.0,69.0,56.0,63.0
Adam Hloušek,52.57142857142857,66.0,2.0,68.0,54.0,57.0,60.0,61.0
Hajime Hosogai,39.857142857142854,58.0,4.0,42.0,40.0,39.0,50.0,46.0
David McGoldrick,61.714285714285715,64.0,4.0,71.0,71.0,72.0,72.0,78.0
Václav Procházka,55.42857142857143,69.0,4.0,75.0,56.0,66.0,61.0,57.0
Dame N'Doye,59.857142857142854,70.0,3.0,81.0,66.0,69.0,70.0,60.0
Rodolfo Salinas,54.42857142857143,60.0,4.0,74.0,64.0,72.0,48.0,59.0
David Cabrera,53.285714285714285,50.0,3.0,75.0,50.0,69.0,68.0,58.0
Leandro Grimi,52.42857142857143,64.0,3.0,70.0,56.0,70.0,48.0,56.0
