Name,Dribbling,Skill_Moves,Ball_Control,Attacking_Position,Balance,Agility
Clément Tainmont,55.4,3,72,72,62,68
Bruno Zuculini,52.2,2,75,49,66,69
Lucas Aveldaño,37.2,2,47,55,48,34
Engin Bekdemir,60.4,2,74,70,78,78
Jon Toral,53.0,3,73,73,58,58
Gaëtan Courtet,57.8,3,69,70,76,71
Cristian Galano,65.4,3,72,66,91,95
Massimo Bruno,60.2,4,73,66,77,81
Ayanda Patosi,60.8,4,74,63,82,81
Joe Bryan,61.0,3,67,63,89,83
Benjamin Kessel,47.4,2,68,57,56,54
Leandro,59.6,3,73,71,75,76
Thiago Galhardo,56.0,3,68,68,67,74
Yu Sang Hun,24.0,1,13,10,52,44
Dimitri Foulquier,53.2,2,69,65,64,66
Tim Kister,29.2,2,48,17,41,38
Diego Chará,57.4,3,69,56,82,77
Isaías,59.0,3,71,62,84,75
Connor Ripley,20.2,1,23,12,38,27
James Tarkowski,42.0,2,65,18,63,62
Nahki Wells,61.8,3,71,74,80,81
Etiënne Reijnen,41.2,2,65,58,40,41
Jair,59.8,3,71,75,68,82
Rodrigo Ely,35.4,2,50,26,40,59
Thomas Bruns,57.2,3,70,67,72,74
Jon Flanagan,52.6,2,73,52,69,67
Erik Morán,48.4,2,70,58,50,62
Gustav Wikheim,58.8,4,72,58,69,91
Massadio Haïdara,50.6,2,68,53,71,59
Kevin Kraus,35.2,2,51,36,41,46
Andre Wisdom,50.2,2,66,59,64,60
Bruno Martella,50.0,2,68,66,57,57
Elias Kachunga,59.0,3,69,70,76,77
Sebastian Lletget,59.8,4,74,69,74,78
Hannes Van Der Bruggen,55.8,2,72,69,67,69
Toni Šunjić,29.6,2,33,23,40,50
Nicola Leali,20.4,1,23,12,32,34
Thibault Moulin,59.4,3,70,67,82,75
Sergey Bryzgalov,48.4,2,63,38,66,73
Maxime Colin,52.6,2,66,53,68,74
João Diogo,58.8,2,71,67,81,73
Jeffrey Schlupp,59.4,2,71,65,80,79
Denys Oliynyk,58.8,3,73,69,73,76
Giannis Maniatis,53.6,2,70,60,65,71
Gaztañaga,45.0,2,67,43,54,59
Diogo Amado,56.6,3,69,67,71,73
Barry Douglas,56.2,3,65,65,73,75
Benito Raman,62.8,3,71,68,84,88
Ibrahima Conté,63.6,4,75,68,82,89
Marcelo Silva,38.6,2,54,30,47,60
Graeme Shinnie,55.6,3,67,54,81,73
Roland Alberg,57.6,3,72,71,68,74
Michael Hector,43.0,2,61,49,46,57
Florian Jozefzoon,61.4,3,71,68,81,84
Atınç Nukan,37.8,2,59,37,37,54
Nicolas Höfler,52.0,2,69,49,68,72
Mustafa Yumlu,34.0,2,54,26,42,46
André Hoffmann,46.2,2,62,52,57,58
Daniel Royer,60.4,3,71,64,76,88
Marco Torsiglieri,33.6,2,51,40,34,41
Maikel Kieftenbeld,54.6,2,69,62,72,68
Jesús Sánchez,60.2,3,71,63,83,81
Bekim Balaj,50.8,3,69,72,51,59
Joffrey Cuffaut,51.6,2,64,49,70,73
Giulio Ebagua,56.6,3,68,69,59,84
Tobias Kempe,54.2,3,73,59,63,73
Ákos Elek,50.0,2,71,69,56,52
Michiel Jonckheere,56.8,3,70,67,72,72
Alexander Domínguez,22.2,1,17,15,42,36
Luis Marín,27.6,1,37,7,31,62
Simone Romagnoli,31.0,2,51,13,33,56
Abraham,57.0,2,72,63,74,74
Bailey Wright,45.2,2,62,39,63,60
Fredrik Midtsjø,62.8,3,75,72,84,80
Alexandr Kolomeytsev,52.4,2,72,64,62,62
Nikola Đurđić,56.6,3,70,72,64,74
Cláudio Ramos,24.6,1,20,10,65,27
Mika,20.0,1,20,12,35,32
Paulus Arajuuri,31.4,2,47,29,39,40
Guitián,49.0,2,64,52,64,63
Steve Clark,26.2,1,14,11,53,52
Danny Williams,56.8,3,68,67,71,75
Stefan Šćepović,52.2,3,71,74,52,61
Osvaldo González,39.0,2,61,25,49,58
Eunan O'Kane,60.4,3,70,63,82,84
Diego Fabbrini,55.8,4,77,60,51,87
Ali Ahamada,22.4,1,22,13,34,42
Yasser Al Mosailem,26.8,1,17,12,55,49
Lars Vilsvik,56.4,3,69,65,71,74
Christophe Diandy,50.6,2,68,52,64,67
Jhasmani Campos,58.4,3,78,61,79,71
Babanco,55.0,2,71,70,71,61
José Manuel Velázquez,44.2,2,67,32,59,61
Stalin Motta,61.6,4,71,64,82,87
Rodrigo Millar,55.0,3,72,70,66,64
Ivan Ivanov,39.2,2,54,29,49,62
Marco Davide Faraoni,55.2,3,70,64,74,65
Radosav Petrović,42.2,2,74,56,32,47
Danny Batth,34.2,2,46,35,45,43
David Davis,54.2,2,67,54,78,70
Edgar Costa,59.6,4,70,75,70,79
Amara Baby,55.6,3,67,68,62,78
Javi Ros,61.2,3,68,67,86,82
Will Grigg,56.8,2,65,74,72,71
Abdoul Razzagui Camara,58.0,3,70,66,74,77
Isma López,56.8,2,64,70,68,80
Adam Matthews,56.8,2,70,63,73,76
Maximiliano Coronel,36.6,2,55,24,51,51
Loris Benito,50.2,2,65,58,53,73
Marin Leovac,53.6,2,68,58,68,72
Heinz Lindner,21.8,1,19,8,38,43
Marcelo Sarvas,57.6,3,70,63,74,78
Wes Foderingham,27.4,1,25,11,44,56
Diego Falcinelli,55.6,3,68,73,63,71
Charlison Benschop,50.2,2,69,69,58,53
Felipe,60.0,3,74,72,72,79
Oscar Jiménez,23.8,1,24,14,50,30
Archimede Morleo,58.8,2,68,60,86,78
Leandro Cabrera,43.4,2,57,34,56,68
Moritz Hartmann,57.8,2,71,73,69,74
Andreas Luthe,20.6,1,14,12,34,42
Fabian Klos,45.6,2,65,70,45,46
Sambou Yatabaré,53.0,3,74,70,51,67
Héctor Yuste,50.2,3,64,46,79,59
Hernán Bernardello,55.8,2,72,55,80,70
Baba Diawara,57.2,3,68,72,65,78
Lionn,54.6,2,66,62,69,74
Marcinho,56.8,3,76,64,65,76
Daniel Adejo,44.0,2,57,33,68,60
Evgeniy Makeev,56.8,2,76,68,70,68
Nabil Bahoui,49.8,3,74,66,47,59
Abdulmalek Al Khaibari,47.2,2,65,39,63,67
Hassan Muath Fallatah,53.2,2,65,67,54,78
Leandro Chichizola,32.0,1,15,14,64,66
Kléber,53.2,3,73,68,55,67
Leandro,58.4,3,77,71,68,73
Emil Salomonsson,52.0,2,63,54,70,71
Kamil Wilczek,57.0,3,69,80,69,64
Håvard Nielsen,55.8,3,73,72,62,69
Marco Terrazzino,60.6,3,72,67,80,81
Manuel Gulde,48.2,2,63,45,64,67
Hervé Bazile,55.4,3,68,65,68,73
Henrik Dalsgaard,55.0,2,67,73,65,68
Yoann Andreu,53.8,2,71,53,75,68
Franco Zuculini,57.0,3,73,60,76,73
Janusz Gol,55.0,3,68,68,63,73
André Hansen,28.4,1,24,16,43,58
Teemu Pukki,59.6,3,71,73,71,80
Mert Günok,28.8,1,25,15,50,53
Robert Gucher,54.0,3,69,64,55,79
Gennaro Scognamiglio,43.8,2,41,61,58,57
Georg Niedermeier,29.6,2,43,39,34,30
Lorenzo Del Prete,48.4,2,58,47,72,63
Migjen Basha,56.6,2,75,64,72,70
Aleksandar Prijović,51.0,4,73,73,51,54
Guido Marilungo,64.2,3,79,73,83,83
Reza Ghoochannejhad,59.6,3,74,71,73,77
Ruslan Kambolov,50.0,2,63,47,68,70
Guarrotxena,57.4,2,70,66,73,76
Bartosz Salamon,38.2,2,68,30,33,58
Maikon Leite,65.4,4,71,69,90,93
Mirko Boland,62.6,3,71,67,86,86
Fausto Rossi,58.4,3,73,60,81,75
Nathan Baker,31.6,2,39,23,48,46
Mattias Johansson,60.8,3,72,68,78,83
Thiago Cionek,42.6,2,56,30,60,65
Francesco Caputo,59.2,3,69,69,74,81
Ahmed Kashi,50.0,2,65,42,70,71
Mustafa Pektemek,56.8,3,72,72,68,69
Declan Rudd,24.2,1,23,13,34,50
Mehdi Abeid,56.4,3,74,65,72,68
Mirco Antenucci,60.2,3,74,75,73,76
Alan Baró,40.4,2,42,43,50,65
Aziz Bouhaddouz,50.6,3,63,72,58,57
Tommy Oar,58.8,3,71,65,77,78
Bakary Saré,49.6,2,64,54,64,64
Paulo Garcés,23.6,1,22,14,44,37
Zaur Sadaev,57.6,3,74,70,66,75
Jakob Jantscher,57.4,3,70,64,70,80
Enrique Pérez,54.4,2,67,61,71,71
Sean Morrison,37.0,2,53,25,48,57
Niall McGinn,62.0,3,73,68,83,83
Montoro,52.4,3,75,61,60,63
Roger Espinoza,58.0,3,69,65,80,73
Andy King,55.0,2,73,72,60,68
Matías Rodríguez,58.4,4,72,72,67,77
Fernando Navarro,60.2,2,68,65,87,79
Dušan Veškovac,42.6,2,57,49,51,54
László Köteles,24.0,1,22,13,38,46
Gilles Sunu,58.4,3,73,71,69,76
Dušan Kuciak,24.2,1,24,13,44,39
Massimo Coda,53.2,2,70,73,61,60
Elderson Echiéjilé,52.0,2,66,59,67,66
Nílton,45.8,2,68,61,44,54
Arnold Bouka Moutou,57.0,2,72,58,84,69
Mano,61.0,2,67,61,87,88
Denis Petric,21.8,1,21,12,41,34
Eduardo Herrera,42.8,2,67,68,34,43
Luis Montes,61.6,3,70,66,87,82
Tomasz Kupisz,58.0,3,74,64,67,82
Eric Lichaj,52.4,2,63,48,79,70
Alex Smithies,23.6,1,23,17,44,33
John Bostock,55.4,3,73,70,64,67
Riccardo Maniero,55.6,3,70,75,58,72
Giuseppe Bellusci,45.0,2,60,36,65,62
Brayan Angulo,51.4,2,67,45,73,70
Stefano Celozzi,58.6,3,69,57,84,80
Aarón Ñíguez,63.4,3,74,71,84,85
Ryan Bennett,35.0,2,46,20,61,46
Dirk Marcellis,43.0,2,51,51,53,58
Vagner,30.0,1,26,9,53,61
Sascha Mölders,52.0,2,66,73,57,62
Emanuele Terranova,38.4,2,48,22,52,68
Joshua John,60.8,4,71,65,74,90
Prince Oniangué,52.0,2,69,66,56,67
Mario Bolatti,47.6,2,72,67,47,50
Adlène Guédioura,53.2,3,72,59,67,65
Nicolò Cherubin,34.8,2,46,20,52,54
Jo Inge Berget,54.4,2,68,72,63,67
Jérémy Taravel,42.2,2,64,43,49,53
Kazenga LuaLua,60.8,4,71,65,71,93
Thuso Phala,59.2,3,68,62,81,82
Mark Beevers,33.4,2,60,26,33,46
Gaetano Berardi,52.0,2,61,56,70,71
Egidio Arévalo Ríos,53.2,2,66,61,70,67
Tim Matavž,52.0,2,68,76,53,61
Léo Silva,52.4,2,69,52,62,77
Adam Hloušek,52.6,3,67,65,63,65
Hajime Hosogai,51.6,2,71,29,78,78
David McGoldrick,60.6,4,75,69,77,78
Václav Procházka,53.2,2,68,62,62,72
Dame N'Doye,54.4,3,68,71,56,74
Rodolfo Salinas,55.8,3,70,67,69,70
David Cabrera,54.6,2,71,61,66,73
Leandro Grimi,53.0,2,65,61,65,72
Anthony Pilkington,56.6,3,72,71,66,71
Radosław Majewski,59.6,3,71,67,85,72
Xavi Torres,49.0,2,66,57,61,59
Rouwen Hennings,54.6,3,66,73,68,63
Thomas Phibel,30.2,2,51,33,32,33
Oleksandr Rybka,24.8,2,31,13,37,41
Charlie Mulgrew,45.6,2,69,53,44,60
Chris Kum,43.6,2,54,35,66,61
Habib Habibou,49.2,3,67,71,46,59
Aleandro Rosi,52.6,3,68,62,60,70
André Leão,45.2,2,66,47,60,51
Alain Traoré,58.6,3,76,69,78,67
İsmail Konuk,42.8,2,59,28,65,60
Cenk Gönen,23.8,1,16,12,42,48
Stefano Guberti,57.8,3,75,69,70,72
José Guerrero,47.2,2,70,39,70,55
Kévin Constant,56.8,3,76,68,68,69
Daniele Capelli,34.4,2,52,29,55,34
Moreno Costanzo,60.4,3,74,81,64,80
Nicolás Bertolo,59.0,4,75,65,74,77
Julio César Domínguez,49.6,2,61,48,67,70
Lukas Jutkiewicz,54.0,3,71,71,66,59
Mattias Bjärsmyr,40.0,2,53,33,56,56
Per Karlsson,44.2,2,49,35,65,70
Jahmir Hyka,63.8,3,71,63,90,92
Nano,54.0,3,71,63,72,61
Daniel Halfar,63.6,3,72,63,90,90
Jan Rosenthal,57.6,3,72,75,66,72
Christian Bolaños,60.4,4,72,67,80,79
Khalifa Sankaré,32.4,2,50,25,39,46
Walter Ayoví,55.8,3,73,65,69,69
Victor Bernárdez,45.2,2,63,57,48,56
Chris Gunter,54.6,2,65,63,70,73
Christoph Leitgeb,59.6,3,79,60,76,80
Fabio Ceravolo,59.6,3,75,69,70,81
Daniele Dessena,56.2,3,70,68,68,72
Stylianos Malezas,34.8,2,58,24,39,51
Tomasz Jodłowiec,39.4,2,65,56,41,33
Matías Cahais,37.8,2,51,31,48,57
Brian Hamalainen,49.2,2,70,44,65,65
Pierre Kanstrup,47.0,2,63,51,62,57
Souleymane Bamba,30.8,2,54,24,39,35
Réginal Goreux,57.4,3,68,66,75,75
David Fernández,44.6,2,61,39,60,61
Joona Toivio,41.6,2,61,36,61,48
Gertjan De Mets,55.0,2,68,60,74,71
Michael Mancienne,47.4,2,67,35,62,71
Linares,56.4,3,69,77,68,65
Rafa López,42.0,2,56,38,63,51
Carlos Esquivel,58.2,3,68,70,73,77
Javi Moyano,55.0,3,63,56,71,82
Jordi Gómez,55.4,3,73,68,74,59
Sastre,54.8,2,68,59,71,74
Antonio Balzano,54.8,2,62,58,80,72
David Cotterill,57.8,3,69,64,76,77
Ryan Shotton,45.4,2,66,52,48,59
Roy Beerens,63.4,4,75,67,86,85
Hugo Ventura,29.0,1,21,14,57,52
Carlos Luna,57.0,3,68,69,74,71
Kieran Lee,57.0,3,72,69,77,64
Fraizer Campbell,59.8,3,69,72,79,76
Michael Madl,42.2,2,61,25,59,64
Jordens Peters,50.4,2,71,53,61,65
Ikechi Anya,63.8,2,68,72,85,92
Jonathan Martins Pereira,55.0,4,70,68,65,68
Mouhamadou Dabo,59.0,2,68,62,84,79
Henok Goitom,48.0,3,73,78,38,48
Magnus Troest,32.6,2,52,12,50,47
Efraín Juárez,54.2,2,70,69,62,68
Steffen Hagen,36.6,2,60,34,47,40
Viktor Fayzulin,57.6,3,75,66,70,74
Kyle Lafferty,52.4,2,67,67,68,58
Park Chu Young,57.4,3,72,71,67,74
Darío Bottinelli,61.4,3,79,65,79,81
Sekou Cissé,54.4,3,66,76,59,68
Joel Lynch,43.8,2,63,36,57,61
Drew Moor,47.6,2,64,39,69,64
Johan Dahlin,22.2,1,24,13,35,38
Pita,47.2,3,73,69,42,49
Nauzet,20.6,1,22,17,33,30
Alexis Thébaux,26.8,1,13,15,55,50
Grant Leadbitter,54.6,2,73,64,70,64
Andrea Lazzari,56.0,3,73,70,69,65
James Vaughan,54.4,3,66,73,53,77
Jordan Remacle,58.8,3,71,67,78,75
Miloš Krasić,54.4,3,75,69,60,65
Paul Gallagher,55.2,3,72,65,61,75
Andy Keogh,55.2,3,68,71,67,67
Emanuel Villa,53.8,2,65,78,61,63
Liam Ridgewell,46.8,2,62,53,52,65
Peter Whittingham,59.4,3,75,64,77,78
Davide Biondini,54.2,2,71,60,72,66
Víctor Casadesús,58.6,3,72,75,75,68
José Rivas,33.4,2,51,45,39,30
François Clerc,50.0,2,68,56,55,69
Ólafur Ingi Skúlason,51.0,2,67,65,62,59
Vasyl Kobin,53.4,2,64,58,70,73
Avimiled Rivas,50.8,2,72,49,66,65
Eugene Galeković,28.4,1,24,15,56,46
Clayton Donaldson,53.0,3,67,73,61,61
Nereo Fernández,26.8,1,15,12,48,58
Christian Puggioni,28.4,1,20,11,42,68
Braulio Leal,55.6,3,71,52,78,74
Craig Bryson,63.2,3,70,70,90,83
Łukasz Szukała,32.2,2,55,31,31,42
Willem Janssen,54.6,2,71,72,64,64
David Edwards,55.8,3,68,79,59,70
Thomas Kessler,24.0,1,21,15,38,45
Joël Sami,28.0,2,56,16,34,32
José De la Cuesta,42.2,2,51,46,66,46
Christoph Janker,42.6,2,61,32,55,63
Juan Carlos Medina,56.0,2,69,69,72,68
Damián Álvarez,62.6,3,80,60,89,81
Jakub Rzeźniczak,48.8,2,50,52,64,76
Carlitos,57.2,4,76,65,69,72
Łukasz Trałka,49.6,2,61,65,61,59
Víctor Figueroa,60.8,4,73,64,85,78
Gustavo Colman,55.8,3,73,70,68,65
Daniel Montenegro,55.6,4,74,65,73,62
Mike Williamson,31.0,2,59,31,32,31
Liam Rosenior,54.2,3,67,60,71,70
Dimitrios Konstantopoulos,22.8,1,23,10,36,44
Marco Caligiuri,54.0,2,66,57,70,75
Daniele Corvia,55.2,3,70,69,62,72
Ali Al-Habsi,28.8,1,17,13,53,60
Davy De fauw,46.2,2,68,39,62,60
Sławomir Peszko,59.6,3,70,68,81,76
Paweł Kieszek,21.4,1,15,14,45,32
Ivica Olić,57.0,3,68,72,72,70
Igor Lebedenko,55.0,3,71,72,61,68
Roman Pavlyuchenko,52.2,2,71,73,50,65
Juan Rodriguez,51.2,2,72,67,55,60
Rubén,30.2,1,20,14,52,64
Ikechukwu Uche,59.0,4,69,70,68,84
Răzvan Raţ,51.8,2,59,59,70,69
Emiliano Papa,56.4,3,66,63,75,75
Jonás Gutiérrez,49.6,3,76,67,49,53
Facundo Erpen,41.4,2,63,23,57,62
Patricio Toranzo,54.6,3,75,64,67,64
Israel Damonte,55.0,2,72,64,69,68
Alexandros Tziolis,46.6,2,70,61,47,53
Sammy Bossut,27.2,1,32,16,42,45
Ross Wallace,62.4,3,70,66,90,83
Óscar Pérez,34.8,1,23,12,69,69
Alessandro Cordaro,61.2,3,72,68,81,82
Carlos Salcido,51.2,2,68,60,70,56
Billy Jones,50.0,2,67,44,68,69
Issa Cissokho,57.4,3,71,66,81,66
Hassan Yebda,46.2,2,69,60,54,46
Amaya,30.8,2,46,38,35,33
Franck Signorino,45.0,2,67,40,70,46
Jordan Lotiès,27.6,2,48,30,29,29
Christophe Lepoint,48.2,2,67,78,46,48
Kim Do Heon,58.8,3,70,71,78,72
Rodolfo,46.2,2,63,53,60,53
Niki Zimling,55.6,2,72,66,72,66
Jesper Hansen,26.6,1,23,12,64,33
Sabri Sarıoğlu,61.4,2,74,64,86,81
Ali Turan,38.2,2,59,44,43,43
Sulley Muntari,54.8,2,75,67,65,65
Marco Donadel,51.0,2,72,50,62,69
Elyasa Süme,45.2,2,62,50,59,53
Youssouf Hadji,56.6,3,70,79,63,68
Clément Maury,20.6,1,22,10,41,29
Alexander Madlung,28.0,2,52,30,31,25
Daniel Sjölund,56.2,2,70,63,75,71
Heiko Westermann,33.6,2,55,50,31,30
Johan Cavalli,61.4,3,74,65,85,80
Darren Bent,56.8,3,68,75,65,73
Jakob Poulsen,55.6,2,70,65,71,70
Matteo Brighi,55.2,2,74,68,76,56
Daniele Cacia,56.2,2,72,75,60,72
Steve von Bergen,44.8,2,57,31,70,64
Benoît Cheyrou,52.2,2,73,63,64,59
Gerhard Tremmel,22.0,1,24,12,39,34
Steed Malbranque,61.2,3,77,65,84,77
Rúben Fernandes,45.2,2,62,40,60,62
Stefan Ishizaki,60.8,3,73,72,77,79
Moreira,25.8,1,29,14,45,40
Sergiu Hanca,59.6,3,65,73,79,78
Damir Šovšić,54.4,3,67,59,63,80
Juan Sebastián Verón,53.4,3,78,74,62,50
Cristian Colmán,53.6,3,66,68,60,71
Tomáš Souček,49.6,2,68,62,57,59
Antonín Barák,54.2,2,73,68,65,63
Manolis Siopis,53.0,2,64,48,82,69
Sasa Lukic,54.8,2,76,58,69,69
Michael Ngadeu-Ngadjui,42.6,2,51,31,67,62
Maximiliano Olivera,52.4,2,74,58,63,65
Andriy Totovytskyi,51.8,3,70,69,55,62
Alberth Elis,56.2,3,74,64,63,77
Omer Atzili,58.6,3,75,69,69,77
Ever Corredeira,51.0,2,66,69,57,61
Nilson Padilho,59.6,3,73,72,72,78
Luan Sendeiro,45.8,2,69,52,50,56
Jailson Oliva,54.0,2,64,41,79,84
João Bardinho,57.8,2,73,56,81,77
Rafa Navarro,58.4,2,70,56,83,81
Srdjan Babic,34.4,2,62,28,38,42
Youssef En-Nesyri,49.2,3,70,67,45,61
Matthijs de Ligt,44.6,2,69,40,44,68
Achraf Hakimi,55.4,2,68,58,74,75
Mateus,43.4,2,65,36,60,54
Ratón,27.8,1,28,8,34,68
Platiny,55.0,2,63,66,70,74
Sergey Chernik,17.4,1,15,4,35,32
Salvi,56.4,3,66,62,82,69
Alberto Benito,54.2,2,66,60,72,71
Didi,41.8,2,59,42,58,48
Borja Lasso,50.0,3,75,64,44,64
Allan Ardaújo,55.6,3,75,65,67,68
Jairo Farnias,30.2,1,8,11,65,66
Ricky Guerreda,56.6,2,67,48,86,80
Elgezabal,42.6,2,63,38,55,55
Milad Mohammadi,57.8,3,72,60,74,80
Daisuke Suzuki,46.2,2,66,27,69,67
Bernardo,52.6,2,69,55,64,73
Guillermo Acosta,59.0,2,69,59,83,82
Gonzalo Papa,46.8,2,60,49,63,60
Nicolás Romat,45.2,2,61,45,60,58
Nicolás Silva,63.2,2,66,60,94,94
Wataru Endo,42.4,2,64,32,67,47
Christopher Nkunku,59.4,3,74,68,79,73
Ryota Moriwaki,42.2,2,55,38,68,48
Milan Škriniar,38.8,2,60,36,53,43
Emanuel Dening,58.8,3,62,76,78,75
Gabriel Sanabria,56.4,3,73,66,69,71
Leonardo Castro,59.6,3,67,77,73,78
Yann Karamoh,54.2,3,70,63,65,70
Javi Ontiveros,60.4,3,74,62,88,75
Cameron Borthwick-Jackson,48.0,2,65,50,62,61
Alexis Soto,50.4,2,60,41,70,79
Joris Gnagnon,39.4,2,67,35,53,40
Emre Mor,66.4,4,80,59,94,95
Nejc Skubic,55.2,2,68,68,67,71
Jozo Šimunović,41.4,2,62,30,66,47
Saberto Botelho,47.6,2,62,51,65,58
Sevinho Santos,55.6,4,71,77,61,65
Vicemte Tófoli,59.2,3,73,74,84,62
Diogildo Peixe,60.0,4,71,61,81,83
Raphael Paneira,57.0,4,76,74,58,73
Macarinho Louro,61.0,4,77,59,82,83
Renaldo Justinho,57.2,4,67,70,64,81
Alam Basteirinho,54.0,4,71,68,64,63
Diegildo Ramos,53.2,2,61,49,77,77
Ansel Barnisco,46.6,2,61,58,61,51
Nazarinho Rios,41.6,2,62,44,51,49
Lourival Dinisco,38.2,2,52,23,55,59
Allison Sireo,30.8,2,49,42,29,32
Eltson Marques,35.0,2,68,28,39,38
Césario Figueirido,38.0,2,51,31,61,45
Milton Menceiros,49.8,2,59,50,67,71
Bernardo Motinho,51.6,2,62,51,71,72
Sérgio Espinho,44.0,2,61,47,59,51
Paulo Mesqueira,63.2,3,73,67,86,87
Daguinho Parrela,47.6,3,61,56,57,61
Luisinho Conradi,58.2,3,76,68,72,72
Wagner Orsinho,52.6,3,64,60,74,62
Emerson Avintes,60.0,3,74,75,73,75
Breno Bemposta,49.8,2,74,61,50,62
Enzo Chissano,53.8,2,68,56,77,66
Alexio Sanctos,49.4,2,64,50,64,67
Renatao Baumer,47.0,2,64,51,71,47
Alam Araújo,53.0,3,62,55,74,71
Victor Fachinhas,21.4,1,17,13,37,39
Vital Nsimba,58.8,2,60,58,88,86
Fran Villalba,59.6,3,71,61,88,75
Andrey Lunev,23.0,1,17,11,50,36
Georgiy Dzhikiya,44.0,2,50,55,60,53
Rodrigo Pinho,53.6,2,77,63,59,67
Victorien Angban,55.0,3,73,59,69,71
Pascal Stenzel,52.6,2,73,52,70,66
Fernando De Paul,25.6,1,15,14,65,33
David Rocha,52.4,2,70,62,70,58
Matheus Pereira,56.0,5,75,61,70,69
Charles,18.8,1,24,8,34,27
Elohim Rolland,52.6,2,69,65,66,61
Davide Calabria,53.6,2,68,42,77,79
Hidde Jurjus,24.8,1,24,11,50,38
Marc Roberts,37.0,2,66,25,51,41
Zinédine Machach,55.0,2,74,63,67,69
Raillo,41.8,2,59,51,57,40
Alexandre Silva,59.4,3,72,70,68,84
Giovanni Troupée,54.4,2,70,57,74,69
Georgiy Tigiev,53.0,2,65,48,71,79
Brandley Kuwas,58.0,3,71,63,78,75
Rico Strieder,53.0,2,68,44,78,73
Óscar Vílchez,42.8,2,66,20,67,59
Josep Señé,53.2,3,70,72,60,61
Nuno Santos,57.0,3,71,61,72,78
Kim Seung Joon,59.4,3,68,72,77,77
Anastasios Donis,59.4,3,71,68,77,78
Hugo Basto,36.6,2,55,31,50,45
Dmitriy Stotskiy,60.8,3,71,64,85,81
Samuel Adegbenro,61.8,4,73,65,84,83
Damián Lemos,47.2,2,60,50,60,64
Cristian Arrieta,57.2,2,62,65,80,77
Melero,51.8,3,72,67,59,58
Yojiro Takahagi,56.4,3,69,71,68,71
Jhonathan Muñoz,39.4,2,54,29,67,45
Ivo Rodrigues,57.0,3,71,70,68,73
Bruno Santos,47.4,2,61,49,62,63
Benjamin Pavard,52.2,2,68,54,68,69
Matías Escudero,38.6,2,53,25,66,47
Antonio Milić,39.0,2,61,42,44,46
Kieran Tierney,51.4,2,67,50,72,66
Fabián,50.0,3,75,65,47,60
Che Adams,58.8,3,69,68,74,80
Assane Gnoukouri,53.2,2,73,62,70,59
Steven Bergwijn,59.8,4,75,59,83,78
Olivier Boscagli,50.4,2,68,59,60,63
Daniele Verde,62.8,3,77,56,93,85
Washington,50.0,2,67,63,62,56
Oliver Burke,56.0,3,69,64,67,77
Carlos Embalo,58.6,3,72,60,76,82
Duje Ćaleta-Car,45.0,2,53,60,62,48
Jarlan Barrera,60.4,4,68,61,79,90
Ramahlwe Mphahlele,47.4,2,69,45,65,56
Alex Meret,25.6,1,22,20,48,37
Joe Gomez,50.4,2,65,51,70,64
Jean-Luc Dompé Diarra,58.8,4,71,61,74,84
André Moreira,22.2,1,17,13,45,35
Lewis Cook,59.0,3,76,55,82,79
Sasa Zdjelar,49.0,2,70,44,59,70
Dabney Dos Santos,60.4,4,73,62,75,88
Sofyan Amrabat,56.2,3,77,50,79,72
Marcos Riquelme,54.2,2,67,68,61,73
Alejandro Márquez,50.0,2,62,49,70,67
Sergio Herrera,24.6,1,27,13,45,37
Vítor Bruno,58.8,3,66,58,82,85
Julio Chiarini,24.2,1,17,12,58,33
João Afonso,35.6,2,55,24,51,46
Stephen Kingsley,57.2,2,67,67,74,76
Tom van Weert,55.4,2,65,80,65,65
Granell,57.6,3,71,63,78,73
Borja Lázaro,47.4,3,66,78,47,43
Rui Correia,37.8,2,51,27,53,56
Concha,57.2,3,74,71,81,57
Emil Berggreen,50.8,2,70,69,59,54
Aleksandar Pešić,49.8,2,69,72,44,62
Filipe Melo,43.6,2,65,53,48,50
Lucas Diarte,48.4,2,65,45,67,63
Carraça,55.0,2,69,60,71,73
Emanuel Aguilera,38.0,2,62,55,34,37
Oğulcan Çağlayan,57.6,3,74,63,70,78
Muammer Yıldırım,20.6,1,19,12,52,19
Dorin Rotariu,57.0,4,72,70,69,70
Fernando Pellegrino,23.6,1,25,12,52,28
Selim Ay,42.0,2,51,41,58,58
Pablo Pérez,52.2,2,73,73,54,59
Benno Schmitz,53.6,2,66,63,66,71
Martin Ødegaard,59.2,4,76,61,76,79
Ezequiel Unsain,26.6,1,22,9,51,50
José Carlos,40.8,2,68,22,66,46
Barnes Osei,57.8,3,69,69,71,77
Vasil Bozhikov,49.0,2,55,49,69,70
Strahil Popov,46.8,2,63,64,53,52
Leonel Di Plácido,55.2,2,68,59,74,73
Patrick Roberts,63.0,3,73,58,90,91
Kasper Fisker,57.2,2,71,64,84,65
Paul Seguin,51.0,2,69,51,65,68
Gonzalo Díaz,59.2,2,73,62,79,80
Kim Do Hyeok,55.2,2,63,58,81,72
Ryan Hollingshead,49.8,3,69,63,58,56
Ernesto Hernández,27.0,1,22,10,47,55
Armando Vargas,59.2,4,72,62,82,76
Dieter Villalpando,58.0,3,69,66,72,80
Ante Puljić,41.4,2,54,38,57,56
Gerónimo Poblete,53.0,2,69,47,74,73
Tim Leibold,61.2,3,65,68,85,85
