Name,Shooting,Heading,Weak_foot,Shot_Power,Finishing,Long_Shots,Freekick_Accuracy,Penalties
Pablo Escobar,58.42857142857143,68,2,72,69,68,64,66
Jung Sung Ryong,12.285714285714286,14,3,18,12,16,11,12
Tomané,50.42857142857143,74,3,75,70,54,24,53
Tom De Sutter,60.0,78,4,75,70,71,54,68
Filip Hološko,59.857142857142854,66,4,82,71,66,60,70
Didier Ovono Ebang,13.714285714285714,20,3,22,12,12,13,14
Sam Baldock,57.42857142857143,59,3,69,70,68,62,71
Rhys Williams,43.285714285714285,66,3,68,43,49,36,38
Stephen Quinn,55.42857142857143,55,2,70,64,65,74,58
Jason Pearce,29.571428571428573,69,3,27,13,36,27,32
Tom Clarke,30.142857142857142,68,3,55,21,27,21,16
Giles Barnes,59.42857142857143,64,4,79,69,69,72,59
Marco Knaller,12.857142857142858,13,3,15,12,15,14,18
Máyor,54.857142857142854,73,3,79,69,51,45,64
Manolo Reina,14.857142857142858,12,3,23,10,20,12,24
Esteban Dreer,12.142857142857142,19,3,12,12,11,17,11
Mahamadou N'Diaye,34.57142857142857,64,2,62,28,27,26,33
Lewis Grabban,59.285714285714285,65,3,72,71,65,60,79
Brett Pitman,61.42857142857143,68,4,71,72,69,65,81
Claudio Bieler,58.857142857142854,70,3,70,72,68,52,77
Baptiste Martin,34.285714285714285,66,3,63,25,29,26,28
Jonathan Pereira,53.42857142857143,53,3,58,74,65,62,59
David Fuster,57.57142857142857,59,5,65,59,68,67,80
Juan Carlos,16.571428571428573,14,3,24,13,23,14,25
Edgar Castillo,49.285714285714285,51,3,67,45,55,60,64
Nicola Belmonte,42.857142857142854,65,2,66,20,50,61,36
Francis N'Ganga,39.714285714285715,54,2,66,35,50,38,33
Yann Kermorgant,63.0,79,3,77,70,68,73,71
Scott Golbourne,34.285714285714285,65,3,29,33,25,43,42
Stephen Gleeson,53.714285714285715,51,3,69,60,70,66,57
Ben Turner,32.42857142857143,74,3,31,37,29,27,26
Jacques Maghoma,47.714285714285715,34,3,64,65,61,57,50
Jonathan Grounds,38.42857142857143,68,3,45,32,43,49,29
Lee Peltier,36.0,63,2,32,40,39,38,38
Joe Garner,55.42857142857143,70,3,70,69,64,43,69
Armand Traoré,45.142857142857146,69,2,66,40,50,40,49
Luke Freeman,49.0,40,3,56,59,60,65,60
Edgar Manucharyan,53.57142857142857,48,3,60,68,68,67,61
Hedwiges Maduro,51.0,70,3,73,47,50,51,63
Damien Perrinelle,38.57142857142857,70,3,42,39,42,30,44
Vladimir Stojković,23.0,10,3,66,13,20,12,37
Pedro Júnior,53.285714285714285,68,3,62,69,60,48,63
Matthew Connolly,41.714285714285715,71,3,63,44,48,25,38
Alexandr Ryazantsev,53.57142857142857,66,4,74,62,70,44,55
Ivan Taranov,47.142857142857146,65,3,61,26,54,63,58
Adrián Aldrete,51.857142857142854,62,3,68,41,58,68,63
Simon Vukčević,63.857142857142854,70,3,79,70,76,75,74
Yang Dong Hyen,56.0,75,4,64,74,63,46,66
Rafał Murawski,51.57142857142857,59,3,67,60,64,66,42
Didier Digard,57.857142857142854,69,3,80,54,66,64,69
Cédric Cambon,43.57142857142857,70,3,52,48,47,37,48
Florian Marange,50.42857142857143,65,2,77,34,67,59,49
Jack Hobbs,36.142857142857146,72,2,53,29,36,28,33
Sebastian Freis,54.285714285714285,62,3,72,70,63,49,61
Thomas Kristensen,52.0,58,3,73,56,59,54,61
Will Johnson,58.0,60,4,76,58,63,71,74
Andrea Coda,31.857142857142858,66,3,55,28,18,15,38
Nereo Champagne,16.857142857142858,20,3,25,17,15,18,20
Emiliano Armenteros,55.857142857142854,57,3,67,65,74,72,53
Jonathan Spector,48.142857142857146,67,4,57,50,56,52,51
Kazuhiko Chiba,36.42857142857143,70,4,42,31,35,36,37
Ghislain Gimbert,60.142857142857146,71,4,73,72,68,64,69
Emmanuel Culio,59.0,57,4,80,59,67,76,70
Marco Zambelli,45.285714285714285,60,3,65,41,63,43,42
Gerardo Rodríguez,52.0,63,3,65,39,53,67,74
Philipp Tschauner,19.142857142857142,47,3,23,9,15,15,22
William Kvist,51.42857142857143,58,3,73,45,56,66,59
Markus Steinhöfer,56.0,59,3,76,49,70,78,57
Efraín Velarde,52.42857142857143,63,2,66,52,61,60,63
Christian Giménez,61.57142857142857,65,4,77,69,72,72,72
Rasmus Lindgren,59.42857142857143,65,4,78,53,74,74,68
Marcos González,40.142857142857146,75,3,47,32,34,46,44
Antonio Nocerino,57.57142857142857,57,3,80,60,69,60,74
Edson Braafheid,48.142857142857146,65,3,66,31,46,69,57
Yuki Abe,61.142857142857146,61,3,79,66,76,73,70
Francisco Rodríguez,44.285714285714285,72,3,63,37,50,32,53
Matthew Mills,41.857142857142854,74,3,61,44,33,44,34
Stephen Henderson,15.0,19,3,19,15,16,15,18
Carl Ikeme,14.571428571428571,13,3,22,13,14,12,25
Vincent Gragnic,55.57142857142857,52,4,60,70,62,73,68
Chris Cohen,57.142857142857146,68,2,69,60,66,69,66
Ricardo Vaz Tê,60.285714285714285,71,3,80,68,69,57,74
Jone Samuelsen,52.42857142857143,63,3,71,60,66,63,41
Domi Kumbela,56.714285714285715,70,3,70,69,69,48,68
Antonio Rosati,13.285714285714286,10,1,21,8,12,16,25
Marcin Wasilewski,55.57142857142857,76,3,77,47,52,65,69
Arkadiusz Malarz,17.142857142857142,16,3,19,12,14,21,35
Cosmin Moţi,37.285714285714285,70,3,33,31,28,42,54
Dmitriy Loskov,58.714285714285715,57,4,65,59,66,87,73
Vesga,47.142857142857146,55,3,77,49,61,28,57
Dani Giménez,13.428571428571429,11,2,16,14,11,15,25
Lopez Garai,49.57142857142857,62,3,69,48,58,57,50
Pedro Ríos,57.142857142857146,53,3,68,66,73,66,71
Mora,56.0,36,3,74,56,72,80,71
Ahmet Şahin,11.0,13,3,12,11,12,12,14
Christian Schwegler,40.285714285714285,52,3,69,27,61,45,25
Gustavo Lorenzetti,55.285714285714285,61,2,64,63,64,68,65
Carlos Araujo,45.0,58,3,65,33,48,47,61
Johnny Thomsen,43.57142857142857,43,4,68,28,59,62,41
Blagoy Georgiev,57.857142857142854,69,3,73,53,66,70,71
Michael Kightly,49.57142857142857,51,3,65,62,61,43,62
Jake Buxton,36.42857142857143,73,3,66,33,15,20,45
Moreno,51.857142857142854,68,3,75,48,63,43,63
Aarón Galindo,36.714285714285715,68,3,59,21,29,40,37
Juan Pablo Rodríguez,58.285714285714285,43,4,76,51,75,75,84
André Bikey,43.57142857142857,61,3,78,37,45,49,32
Joleon Lescott,47.857142857142854,76,3,64,52,40,52,48
David Rozehnal,44.0,75,3,65,29,55,40,41
Lloyd Sam,50.0,39,4,69,66,62,49,61
Jesper Jørgensen,57.285714285714285,65,4,68,65,72,63,64
Mickaël Chrétien,36.857142857142854,65,3,59,26,31,24,50
Ludovic Obraniak,58.0,59,4,70,62,69,70,72
Simone Rizzato,45.57142857142857,58,3,72,43,50,48,45
Francesco Benussi,14.714285714285714,15,2,24,12,16,18,16
Georgios Samaras,54.857142857142854,71,3,68,68,62,43,69
Jürgen Gjasula,58.57142857142857,56,3,72,65,67,75,72
Walter Bressan,14.285714285714286,13,2,23,18,13,12,19
Bogdan Lobonţ,13.142857142857142,11,3,23,10,12,13,20
Lee Jung Soo,57.142857142857146,76,4,67,62,57,57,77
Pablo Ignacio Calandria,62.0,75,3,71,77,73,58,77
Thomas Sørensen,15.142857142857142,13,3,24,17,13,12,24
Damien Perquis,38.285714285714285,68,3,56,35,34,43,29
Anders Lindegaard,20.0,14,3,28,16,19,18,42
Rasmus Würtz,54.285714285714285,69,4,68,60,64,49,66
Abdullah Durak,52.57142857142857,65,3,69,64,68,48,51
Stephan Andersen,14.714285714285714,11,2,24,13,15,14,24
Filip Daems,47.857142857142854,70,3,65,25,42,45,85
Özgür Çek,54.714285714285715,58,2,70,61,68,72,52
Andrea Mantovani,43.42857142857143,70,3,64,35,49,36,47
Michael Agazzi,13.285714285714286,11,2,20,16,14,14,16
Steven Whittaker,55.57142857142857,75,4,73,60,64,43,70
Alexander Walke,17.285714285714285,24,3,27,8,14,14,31
Boubacar Barry,17.142857142857142,11,3,36,14,15,14,27
Carlos Valencia,43.285714285714285,53,3,54,41,49,39,64
Nino,55.857142857142854,49,4,63,79,70,55,71
Borja Fernández,57.857142857142854,68,3,79,55,69,68,63
Cifuentes,18.714285714285715,22,3,41,10,16,12,27
Bram Castro,15.857142857142858,14,2,35,11,19,14,16
Federico Agliardi,14.0,9,3,23,12,13,17,21
Michael Langer,12.0,14,3,15,14,13,12,13
Chris Burke,54.285714285714285,37,4,72,66,68,64,69
Markus Feulner,61.42857142857143,64,4,78,65,75,76,68
Kris Commons,60.142857142857146,47,4,80,68,73,72,77
Lee Camp,15.0,14,3,22,17,12,17,20
Gary O'Neil,54.714285714285715,54,3,67,62,67,66,64
Alain Rochat,58.285714285714285,74,3,72,52,71,66,70
Cédric Varrault,48.285714285714285,73,3,65,46,57,47,47
Julio Álvarez,61.57142857142857,53,4,71,65,76,80,82
Philippe Senderos,35.57142857142857,69,2,60,32,26,20,40
Karim Ziani,57.714285714285715,54,3,72,60,68,79,68
Morten Rasmussen,55.42857142857143,74,2,75,71,63,31,72
DaMarcus Beasley,51.714285714285715,54,4,66,61,56,62,59
Dorus de Vries,11.857142857142858,11,3,22,11,12,12,12
Dean Whitehead,56.0,65,3,72,54,61,64,73
Clint Hill,32.857142857142854,72,2,39,23,31,21,42
Luke Steele,18.285714285714285,19,2,24,19,19,18,27
Aaron Hughes,36.285714285714285,73,3,48,34,26,25,45
Paul Robinson,14.571428571428571,10,3,25,19,20,12,13
Vítor Silva,54.285714285714285,46,4,56,66,70,70,68
Matt Gilks,13.142857142857142,11,2,20,11,13,11,24
Diederik Boer,18.142857142857142,11,3,28,11,16,12,46
Manu Herrera,15.571428571428571,14,3,25,13,22,14,18
Valeriy Luchkevych,46.142857142857146,48,3,60,59,53,51,49
David Guzman,52.0,61,3,71,51,64,53,61
Artur Jorge,34.42857142857143,62,3,48,25,27,31,45
Roberto Soira,57.0,72,2,70,72,67,49,67
Renato Rochela,55.714285714285715,68,3,52,68,65,64,70
Enaldo Paneira,50.57142857142857,56,3,63,65,62,55,50
Ever Sineiro,53.57142857142857,71,4,62,62,54,56,66
Paulo Daineiro,44.285714285714285,45,3,50,58,46,40,68
Vinicius Trieiro,42.142857142857146,57,3,56,36,48,49,46
Daniel Mestrança,46.42857142857143,70,2,57,41,52,55,48
Cristian González,37.142857142857146,64,3,55,29,26,34,49
Imanol García,46.285714285714285,50,3,59,56,52,53,51
Andrija Balic,46.857142857142854,44,3,62,59,55,60,45
Bryan Cabezas,49.42857142857143,66,5,69,60,63,40,43
Diego Godoy,54.57142857142857,58,2,68,64,60,66,64
Bojan Nastić,38.285714285714285,60,3,70,26,38,34,37
Ghislain Konan,37.714285714285715,48,3,57,43,40,32,41
Gelson Dala,56.857142857142854,65,4,72,70,62,55,70
Evans Kangwa,52.0,54,4,68,67,64,40,67
Manuel Lazzari,41.57142857142857,44,3,40,54,45,47,58
Matúš Bero,55.57142857142857,59,3,74,65,68,65,55
José Aja,40.142857142857146,69,3,53,28,38,32,58
Panagiotis Retsos,35.285714285714285,63,3,60,26,33,29,33
Sebastián Hernández,51.142857142857146,47,4,63,56,68,65,55
João Amaral,52.0,52,3,72,64,55,50,68
João Talocha,35.714285714285715,51,3,51,31,35,38,41
Pedro Rebocho,47.857142857142854,51,2,78,30,63,68,43
Renan Diniz,35.857142857142854,71,2,48,29,29,26,46
Domingos Duarte,35.285714285714285,72,3,50,24,26,27,45
Caro,26.142857142857142,23,2,49,29,19,10,51
Jair Amador,34.285714285714285,70,2,41,22,27,37,41
Andrey Malykh,46.42857142857143,55,4,63,60,61,38,44
Django Warmerdam,46.857142857142854,61,3,58,40,65,53,48
Fábio China,37.285714285714285,58,3,56,32,30,34,48
David Carmona,40.57142857142857,52,3,59,33,48,45,44
Akram Afif,51.857142857142854,57,3,55,69,52,59,68
Odriozola,37.285714285714285,59,2,26,42,40,30,62
Ranteiro Alves,52.42857142857143,55,3,74,52,73,50,60
Sandeiro Leal,60.42857142857143,64,3,75,67,74,72,68
Caio Tafarell,49.857142857142854,64,3,75,42,60,56,49
Peter Torreiro,14.428571428571429,20,1,14,11,18,12,25
Caio Padricio,16.857142857142858,22,2,18,17,22,21,16
Matos,41.857142857142854,47,3,69,35,49,51,39
Ahmed Duiedar,34.42857142857143,71,3,42,34,31,27,33
Noah Joel Sarenren Bazee,47.142857142857146,53,3,64,63,53,42,52
Petar Brlek,49.285714285714285,49,3,62,57,72,55,47
Ryota Oshima,52.0,34,4,76,54,74,58,64
Shintaro Kurumaya,42.857142857142854,52,3,70,50,64,30,31
Aleñà,42.714285714285715,34,3,35,52,65,57,53
Garrido,41.0,52,3,68,32,45,49,38
Rodrigo Aliendro,52.857142857142854,72,3,66,67,63,47,52
Naomichi Ueda,29.0,68,2,36,24,21,22,30
Franco Sbuttoni,30.285714285714285,73,3,45,25,20,17,29
Daiki Niwa,33.285714285714285,69,3,38,30,33,32,28
Yoshifumi Kashiwa,46.142857142857146,50,4,63,58,57,40,51
Takahiro Sekine,38.714285714285715,38,2,49,59,39,39,45
Kubilay Kanatsızkuş,54.42857142857143,71,3,69,68,63,50,57
Ronald Matarrita,46.857142857142854,58,2,70,33,52,54,59
Jhonier Viveros,49.0,36,3,65,64,64,53,58
Lato,39.57142857142857,67,3,52,32,46,38,39
Keegan Rosenberry,43.57142857142857,54,3,58,38,45,48,59
Saman Ghoddos,55.42857142857143,63,3,68,66,65,60,63
Rodrigo,43.0,44,3,61,48,45,54,46
Andraž Šporar,55.142857142857146,65,3,69,69,59,51,70
Landry Dimata,51.285714285714285,68,3,66,67,53,42,60
Curro Sánchez,49.42857142857143,43,3,48,65,66,65,56
Edis Ibargüen,48.142857142857146,74,3,62,69,51,21,57
João Carvalho,48.142857142857146,38,3,74,51,58,59,54
Kelvin Amian Adou,36.57142857142857,57,3,49,32,35,39,41
Alexander Hack,34.0,71,3,44,23,21,31,45
Ludovic Blas,49.0,50,3,68,52,68,48,54
Hauke Wahl,32.285714285714285,73,3,32,36,24,21,37
Sandro Maceira,54.285714285714285,56,3,67,62,56,62,74
Prazeracinho,48.714285714285715,45,3,58,57,52,60,66
Roldão Riso,52.57142857142857,72,3,53,45,52,71,72
Igor Madinha,56.714285714285715,59,4,69,65,54,71,75
Emidio Hoffman,47.857142857142854,69,3,64,48,54,44,53
Flávio Rebeilo,43.714285714285715,54,3,54,35,48,57,55
Jonaldo Monteiro,46.857142857142854,61,3,52,51,45,55,61
Ailton Cardenhas,16.285714285714285,30,3,19,10,11,16,25
Emu Teixeira,56.42857142857143,75,3,48,74,62,63,70
Rômulão Selva,52.57142857142857,51,5,72,50,67,56,67
Antonaldo Laforte,51.857142857142854,59,3,65,68,63,54,51
Alson Botelho,42.857142857142854,70,3,56,42,51,30,48
Marlinito Dias,45.285714285714285,77,3,58,36,44,54,45
Paulo Fajarda,38.285714285714285,62,3,60,25,27,46,45
Jaimosa Cavaco,46.142857142857146,58,3,43,75,63,31,50
Carvamelinho,47.714285714285715,62,3,64,52,50,40,63
Luciano Cacheira,18.428571428571427,22,2,33,9,15,22,26
Dejan Drazic,40.714285714285715,39,3,51,64,45,36,47
Aldo Kalulu,50.285714285714285,51,3,65,69,59,38,67
Rajko Brežančić,39.42857142857143,51,2,71,28,51,30,43
Fernando Luna,52.285714285714285,54,5,63,53,51,78,62
Ben Chilwell,38.0,55,3,39,38,35,46,50
Nando,49.57142857142857,38,3,64,60,67,58,57
Anderson Lopes,56.142857142857146,54,3,76,70,69,53,68
André Bukia,46.714285714285715,49,2,72,64,42,39,59
Óscar Pinchi,50.0,44,3,65,77,70,44,47
Dimitrios Goutas,40.42857142857143,67,3,55,36,44,35,43
Gerard Valentín,29.571428571428573,38,3,41,32,35,22,36
Waldemar Anton,40.57142857142857,64,3,49,41,40,39,48
Jean Meneses,48.0,55,3,67,65,58,38,50
Cris Martinez,57.142857142857146,70,3,73,66,70,45,73
Charilaos Charisis,54.857142857142854,45,3,75,52,72,72,65
Jonathan Benítez,50.0,51,3,70,68,69,32,57
Hicham Faik,57.285714285714285,37,3,84,58,81,83,55
Christian Rivera,41.285714285714285,57,3,62,41,43,40,43
Víctor Guzmán,54.285714285714285,70,3,75,54,70,51,57
Yohan Boli,54.57142857142857,72,3,72,68,63,40,64
Edu Machado,41.42857142857143,64,2,71,34,36,38,45
Nili Perdomo,38.0,57,3,42,46,30,37,51
Jason Berthomier,62.142857142857146,65,4,75,69,72,75,75
Clayton Daniels,38.0,55,2,44,30,33,41,61
Tomislav Mrčela,39.57142857142857,80,3,42,28,32,47,45
Aitor Buñuel,34.857142857142854,52,3,39,36,35,36,43
Oussama Idrissi,49.57142857142857,58,2,75,63,70,34,45
Frenkie de Jong,43.285714285714285,40,3,59,46,54,56,45
Gerrit Holtmann,48.142857142857146,41,3,75,62,60,36,60
Raphael Guzzo,57.0,49,3,81,53,69,74,70
David Ivan,47.285714285714285,50,2,52,55,60,51,61
Cristian Techera,52.857142857142854,40,4,70,64,67,60,65
Brian Oliván,47.0,57,3,63,55,48,41,62
Alexis Castro,55.0,67,2,63,66,76,58,53
Boban Jović,38.42857142857143,46,4,52,40,35,43,49
Eloge Koffi Yao Guy,35.142857142857146,60,3,48,23,30,36,46
Isaac Mbenza,54.0,58,3,71,63,68,60,55
Suleiman Abdullahi,52.714285714285715,63,3,75,67,63,32,66
Rodrigo Bentancur,47.857142857142854,60,3,63,48,62,49,50
Daniel Álvarez,48.0,54,2,70,52,63,34,61
Jerry Ortiz,53.142857142857146,56,3,73,49,74,69,48
Juan Camilo Roa,37.0,58,3,43,42,45,32,36
Carlos Ibargüen,57.57142857142857,60,3,71,73,59,69,68
Tim Parker,31.857142857142858,69,2,33,35,21,26,37
Santiago Rosales,51.857142857142854,72,4,62,62,53,49,61
Max Christiansen,48.42857142857143,68,3,66,39,50,65,48
Bart Nieuwkoop,40.0,61,3,65,29,41,39,42
Jonathan Galván,47.42857142857143,75,3,56,58,54,37,49
Pablo Campodónico,14.857142857142858,19,2,19,12,20,13,19
Christian,58.142857142857146,44,3,82,59,76,79,64
Younes Namli,45.57142857142857,43,3,65,52,50,44,62
Alejandro Romero Gamarra,42.285714285714285,33,2,59,53,55,45,49
Xavier,49.714285714285715,48,3,69,65,58,42,63
Jeisson Vargas,56.142857142857146,53,3,71,66,67,70,63
Marcelo Hermes,41.285714285714285,50,2,58,61,34,37,47
Freddy Salazar,50.857142857142854,59,3,60,65,67,50,52
Mahmoud Hassan,52.714285714285715,35,5,66,64,71,63,65
Mikkel Duelund,51.714285714285715,49,3,58,68,61,63,60
Justin Eilers,53.714285714285715,47,4,72,73,70,33,77
Saša Živec,48.57142857142857,59,4,63,60,63,32,59
Dylan Bahamboula,51.714285714285715,58,3,65,67,54,54,61
Abdou Diallo,34.285714285714285,68,3,42,30,24,32,41
Mario Pineida,39.285714285714285,55,2,40,34,35,53,56
Dominic Solanke,53.42857142857143,62,3,68,69,59,42,71
Obbi Oularé,51.142857142857146,72,3,74,69,50,29,61
Kasey Palmer,56.142857142857146,58,4,74,63,72,65,57
Rolando Mandragora,47.42857142857143,60,2,66,39,59,54,52
Sebastián Salazar,31.714285714285715,33,3,42,28,38,35,43
Edson Farias,50.42857142857143,56,4,70,66,61,40,56
Rivaldo Coetzee,32.42857142857143,63,4,34,23,26,32,45
Daniel Ndi,47.142857142857146,48,3,69,60,59,42,49
Jorge Sáenz,38.0,64,3,50,35,34,38,42
Gianluca Gaudino,38.714285714285715,40,3,51,36,37,53,51
Stéphane Sparagna,34.0,63,2,49,23,32,27,42
Yan Junling,14.285714285714286,19,3,16,14,13,14,21
Rafael Páez,24.285714285714285,67,3,26,12,15,20,27
Walter Bou,55.42857142857143,56,3,73,76,76,45,59
Ertuğrul Ersoy,33.0,70,3,45,22,29,29,33
Thabo Qalinge,47.0,34,4,52,62,59,54,64
Víctor Salazar,38.42857142857143,49,2,53,46,48,35,36
Moussa Doumbia,48.714285714285715,42,2,60,63,55,61,58
Joan Jordán,52.857142857142854,47,4,72,56,65,64,62
Nicolò Barella,45.857142857142854,40,3,62,42,56,62,56
Mariano Barbieri,50.285714285714285,62,4,63,64,72,39,48
Yoann Barbet,46.0,65,3,50,27,57,62,58
Jordy de Wijs,52.142857142857146,68,3,76,33,65,71,49
Henry Martín,54.285714285714285,63,2,68,69,64,51,63
Querol,52.57142857142857,57,3,67,66,59,51,65
David Depetris,56.57142857142857,75,3,71,70,68,39,70
Marvin Schwäbe,18.571428571428573,15,3,36,16,21,9,30
Dimitris Kolovos,53.42857142857143,40,4,68,65,66,68,63
Vasco Rocha,53.142857142857146,53,3,72,45,65,65,69
Eguaras,54.0,58,3,66,52,65,61,73
Rajko Rotman,58.857142857142854,68,2,73,63,67,69,70
Rolando García Guerreño,36.714285714285715,74,2,47,35,25,32,42
Erkan Kaş,52.857142857142854,53,3,72,55,67,64,56
Vedat Muriqi,54.42857142857143,73,3,75,70,63,30,67
Fede,47.42857142857143,53,3,63,47,51,56,59
Leart Paqarada,44.142857142857146,55,3,61,36,45,70,39
Alexandre Mendy,55.142857142857146,64,3,76,72,62,36,73
Reziuan Mirzov,48.42857142857143,52,4,67,58,56,44,58
Evgeniy Konyukhov,16.857142857142858,19,2,18,17,20,19,23
Erdem Özgenç,57.0,65,3,81,42,69,73,66
Jorge Díaz,53.714285714285715,31,3,79,66,72,60,65
Rubén Cruz,60.42857142857143,62,3,62,73,74,71,78
Ádám Lang,44.0,68,3,52,36,43,50,56
Anthony Briançon,45.0,66,2,68,34,63,39,43
Kadir Keleş,44.42857142857143,49,3,60,49,56,50,44
Emre Güral,61.42857142857143,70,3,82,67,72,64,72
Paul Gladon,55.0,71,4,72,71,56,51,60
Daler Kuzyaev,49.0,51,3,65,60,50,53,61
Leonardo Morosini,43.857142857142854,41,3,65,61,53,39,45
João Teixeira,51.142857142857146,50,3,66,53,68,52,66
Chadrac Akolo,47.42857142857143,37,3,73,74,54,41,50
Nélson Monte,34.0,64,2,35,28,31,32,46
Morten Thorsby,47.0,64,3,63,55,50,48,46
Grant Ward,53.0,51,3,68,64,71,60,54
Mario Risso,35.57142857142857,72,3,46,21,26,32,49
Teddy Bishop,47.0,41,4,60,62,54,57,51
Richie Marquez,28.0,64,2,34,17,19,26,34
Uroš Vitas,53.142857142857146,72,3,73,25,56,76,67
Valentin Lavigne,56.57142857142857,68,3,72,72,67,48,66
Yairo Moreno,46.142857142857146,38,2,51,64,53,49,66
Ewandro,54.0,52,3,65,73,62,52,71
Minhoca,48.285714285714285,43,4,71,56,59,48,57
Jacob Rinne,15.428571428571429,16,2,19,15,15,15,26
Jair Palacios,40.285714285714285,53,2,59,56,46,29,37
Jhony Cano,55.714285714285715,56,3,72,66,65,55,73
Luis Tipton,46.57142857142857,60,3,70,45,32,67,49
Carlos Espinosa,48.42857142857143,32,3,59,51,65,61,68
Théo Pellenard,34.142857142857146,62,3,33,32,28,39,42
Jorge Correa,55.142857142857146,46,2,74,66,80,64,54
Guille Donoso,46.142857142857146,47,3,44,60,58,49,62
Antonio-Mirko Čolak,53.285714285714285,68,4,68,71,65,33,64
Ivan Vargić,15.0,15,3,22,12,18,15,20
Ailton,33.857142857142854,54,2,33,36,27,42,43
Facundo Monteseirín,37.42857142857143,71,3,63,23,34,28,40
Jamal Abdullah Ba Jandouh,51.42857142857143,54,4,77,57,62,49,57
James Okwuosa,38.857142857142854,58,3,50,31,39,44,47
Abdul Ajagun,52.857142857142854,58,3,72,66,71,33,67
Felipe Nicolás Avenatti,51.857142857142854,74,2,70,67,58,30,62
Nicolás Canales,54.285714285714285,73,3,63,73,59,42,67
Guillermo Varela,35.57142857142857,60,3,37,30,30,43,46
Naser Aliji,33.714285714285715,57,3,41,36,32,30,37
Alex Ferrari,34.57142857142857,64,2,59,12,48,30,27
Franco Bellocq,47.285714285714285,64,3,59,40,55,61,49
Ebenezer Assifuah,50.42857142857143,48,5,70,64,67,33,66
Oumar Diakhité,41.142857142857146,72,2,56,34,37,38,49
Ethan Horvath,14.428571428571429,13,3,21,17,19,17,11
Cédric Hountondji,36.714285714285715,70,2,48,28,29,35,45
Lorenzo Gordinho,32.57142857142857,72,4,35,28,22,26,41
Francesco Zampano,35.0,56,3,56,27,47,26,30
Cristián Cuevas,48.57142857142857,57,3,61,56,63,50,50
Steven Fortès,38.42857142857143,75,2,34,41,56,25,36
Fred Friday,50.714285714285715,58,3,70,72,59,32,61
Jaílson,32.857142857142854,47,3,36,29,32,36,47
Rodrigo Erramuspe,36.714285714285715,71,3,46,27,30,31,49
Fahed Al Berahim,48.857142857142854,60,3,66,40,67,68,38
Dhurgham Ismail,54.42857142857143,48,3,72,58,66,68,66
Alexis Zapata,45.142857142857146,36,3,67,62,65,38,45
Dominic Iorfa,30.142857142857142,56,2,47,25,26,24,31
Aaron Appindangoye,42.0,71,2,55,44,35,39,48
Fidencio Oviedo,34.42857142857143,55,2,50,28,34,33,39
Brayan Véjar,47.42857142857143,53,5,61,48,60,58,47
Hideto Takahashi,44.285714285714285,64,3,52,49,51,43,48
Julien De Sart,55.0,64,3,73,53,71,66,55
Gael Sandoval,51.142857142857146,50,4,63,60,62,60,59
Patrik Carlgren,14.285714285714286,18,2,17,13,14,15,21
Alejandro González,27.0,67,3,29,15,13,28,34
Jaime Córdoba,50.57142857142857,62,4,71,53,64,52,48
Dzon Delarge,50.0,62,3,76,58,59,32,60
Javier Güemez,53.57142857142857,62,3,70,61,70,58,51
Ioannis Mystakidis,54.42857142857143,65,3,69,71,65,44,64
Gonçalo Paciência,54.285714285714285,62,3,75,66,64,41,69
Stefan Kutschke,56.142857142857146,76,3,78,71,66,29,70
Marco Sangalli,47.57142857142857,41,3,58,67,52,40,72
Duncan Watmore,50.142857142857146,49,3,66,69,57,42,65
Marvin Stefaniak,53.142857142857146,37,4,71,61,63,72,64
Rémy Dugimont,62.142857142857146,72,3,76,74,74,66,70
Dankler,38.285714285714285,71,3,56,38,29,30,41
Fabrizio Poli,22.571428571428573,74,3,22,13,13,13,20
Facundo Oreja,36.857142857142854,45,2,56,27,53,35,40
Mohamed El Makrini,39.714285714285715,55,3,56,41,40,48,35
Florian Martin,56.714285714285715,53,2,75,69,69,77,52
Shani Tarashaj,49.857142857142854,56,4,67,69,53,30,70
Wout Droste,31.857142857142858,67,2,38,24,23,31,38
Sehrou Guirassy,56.0,68,3,69,75,56,67,54
Jérémy Cordoval,28.0,53,2,26,21,28,30,36
Maximiliano Núñez,48.714285714285715,55,3,68,58,66,44,47
Matías Sarulyte,36.857142857142854,69,3,41,34,33,29,49
Vyacheslav Krotov,55.0,65,3,68,68,63,48,70
Iván Etevenaux,56.714285714285715,45,3,66,67,83,73,60
César Rigamonti,16.428571428571427,17,2,24,14,17,21,20
Adrien Hunou,49.714285714285715,53,3,65,63,59,53,52
Alexis Niz,40.57142857142857,72,3,56,39,46,27,41
Axel Werner,16.571428571428573,15,2,24,19,18,15,23
Gastón Díaz,50.0,55,2,71,44,69,65,44
Ciro Rius,51.42857142857143,55,3,72,58,48,61,63
Nelson Ibáñez,14.571428571428571,13,2,21,14,16,13,23
Alan Aguerre,15.857142857142858,17,2,18,20,14,18,22
Juan Cavallaro,50.285714285714285,43,3,68,65,76,41,56
Varela,45.42857142857143,61,3,55,37,39,67,56
Álvaro Ramos,51.57142857142857,56,3,66,68,56,51,61
Michael Ríos,57.714285714285715,47,4,70,63,74,75,71
Nicolás Pasquini,55.0,56,3,71,59,66,69,61
Luciano Balbi,41.285714285714285,46,3,58,43,49,46,44
Maximiliano Cerato,50.714285714285715,53,3,60,61,56,62,60
