Name,Passing,Vision,Crossing,Short_Pass,Long_Pass,Curve,Volleys
Giulio Ebagua,51.666666666666664,42,40,55,45,60,68
Tobias Kempe,69.33333333333333,66,77,67,64,80,62
Ákos Elek,63.5,57,69,68,65,59,63
Michiel Jonckheere,68.5,72,67,71,72,62,67
Alexander Domínguez,22.0,53,13,16,14,19,17
Luis Marín,26.333333333333332,35,17,47,35,6,18
Simone Romagnoli,31.166666666666668,24,20,49,49,28,17
Abraham,62.666666666666664,66,72,68,58,76,36
Bailey Wright,41.166666666666664,46,47,52,44,36,22
Fredrik Midtsjø,65.5,67,60,74,68,65,59
Alexandr Kolomeytsev,65.16666666666667,73,63,77,73,47,58
Nikola Đurđić,64.16666666666667,67,57,67,61,64,69
Cláudio Ramos,16.0,23,10,14,12,15,22
Mika,21.166666666666668,32,9,29,25,18,14
Paulus Arajuuri,41.333333333333336,32,27,58,61,45,25
Guitián,50.0,58,35,68,64,44,31
Steve Clark,32.833333333333336,67,13,39,54,12,12
Danny Williams,64.66666666666667,60,66,72,68,54,68
Stefan Šćepović,56.333333333333336,58,43,68,41,59,69
Osvaldo González,57.333333333333336,58,66,66,63,48,43
Eunan O'Kane,59.0,72,62,74,70,48,28
Diego Fabbrini,68.16666666666667,67,66,73,61,76,66
Ali Ahamada,22.666666666666668,24,17,32,34,16,13
Yasser Al Mosailem,24.166666666666668,52,18,22,21,20,12
Lars Vilsvik,67.66666666666667,67,74,71,64,71,59
Christophe Diandy,61.5,63,61,71,68,54,52
Jhasmani Campos,68.83333333333333,72,64,72,64,78,63
Babanco,63.666666666666664,65,70,69,70,70,38
José Manuel Velázquez,56.333333333333336,53,63,66,63,33,60
Stalin Motta,71.83333333333333,79,72,76,76,67,61
Rodrigo Millar,70.83333333333333,72,70,73,71,71,68
Ivan Ivanov,44.166666666666664,38,42,61,51,33,40
Marco Davide Faraoni,68.66666666666667,64,73,70,67,69,69
Radosav Petrović,57.0,66,61,71,67,41,36
Danny Batth,34.166666666666664,39,24,50,49,25,18
David Davis,57.5,58,61,66,62,51,47
Edgar Costa,65.33333333333333,65,66,61,58,68,74
Amara Baby,58.5,58,66,68,66,57,36
Javi Ros,67.5,73,57,77,75,71,52
Will Grigg,48.833333333333336,54,31,59,40,39,70
Abdoul Razzagui Camara,66.0,67,68,66,63,69,63
Isma López,62.666666666666664,59,70,69,59,70,49
Adam Matthews,65.5,69,71,70,67,73,43
Maximiliano Coronel,47.833333333333336,42,45,58,56,44,42
Loris Benito,57.5,63,68,64,60,56,34
Marin Leovac,61.166666666666664,48,75,66,68,71,39
Heinz Lindner,18.833333333333332,33,11,24,15,17,13
Marcelo Sarvas,63.833333333333336,60,53,73,74,64,59
Wes Foderingham,17.166666666666668,11,16,26,23,14,13
Diego Falcinelli,51.833333333333336,57,32,61,54,45,62
Charlison Benschop,60.833333333333336,67,58,63,58,60,59
Felipe,66.66666666666667,72,69,67,62,63,67
Oscar Jiménez,21.166666666666668,32,14,25,31,13,12
Archimede Morleo,63.666666666666664,54,74,70,68,72,44
Leandro Cabrera,49.0,45,60,57,59,46,27
Moritz Hartmann,62.333333333333336,60,68,69,49,58,70
Andreas Luthe,22.166666666666668,49,14,24,19,15,12
Fabian Klos,47.833333333333336,54,40,54,30,41,68
Sambou Yatabaré,62.0,67,58,71,70,59,47
Héctor Yuste,62.666666666666664,67,53,70,70,58,58
Hernán Bernardello,67.16666666666667,65,67,74,72,70,55
Baba Diawara,55.0,56,56,60,40,50,68
Lionn,57.166666666666664,44,69,64,56,59,51
Marcinho,65.33333333333333,67,72,66,66,62,59
Daniel Adejo,46.166666666666664,40,47,60,57,37,36
Evgeniy Makeev,64.0,62,69,69,59,59,66
Nabil Bahoui,66.33333333333333,62,70,66,63,74,63
Abdulmalek Al Khaibari,50.166666666666664,53,40,71,66,35,36
Hassan Muath Fallatah,63.166666666666664,58,68,68,65,60,60
Leandro Chichizola,16.333333333333332,31,11,14,13,15,14
Kléber,65.66666666666667,66,61,66,60,69,72
Leandro,60.666666666666664,67,56,69,53,51,68
Emil Salomonsson,60.666666666666664,64,69,64,58,65,44
Kamil Wilczek,61.0,60,62,63,59,59,63
Håvard Nielsen,63.666666666666664,64,64,68,49,64,73
Marco Terrazzino,68.5,68,69,72,62,70,70
Manuel Gulde,51.666666666666664,47,47,59,58,45,54
Hervé Bazile,66.33333333333333,69,71,65,62,68,63
Henrik Dalsgaard,55.0,55,70,66,60,33,46
Yoann Andreu,52.5,50,72,66,59,43,25
Franco Zuculini,65.0,72,62,74,74,57,51
Janusz Gol,62.5,70,60,72,69,55,49
André Hansen,29.5,62,13,39,41,10,12
Teemu Pukki,50.833333333333336,42,43,69,35,53,63
Mert Günok,25.5,51,15,27,28,16,16
Robert Gucher,58.333333333333336,69,41,73,70,53,44
Gennaro Scognamiglio,33.833333333333336,38,39,36,41,22,27
Georg Niedermeier,40.166666666666664,42,37,48,44,41,29
Lorenzo Del Prete,54.333333333333336,33,68,63,45,58,59
Migjen Basha,66.5,64,66,72,71,66,60
Aleksandar Prijović,53.5,55,45,61,55,52,53
Guido Marilungo,66.66666666666667,70,69,70,52,70,69
Reza Ghoochannejhad,61.666666666666664,66,64,61,53,58,68
Ruslan Kambolov,64.33333333333333,60,61,70,72,72,51
Guarrotxena,64.83333333333333,62,75,66,62,68,56
Bartosz Salamon,49.833333333333336,55,38,66,71,45,24
Maikon Leite,61.333333333333336,64,62,63,50,66,63
Mirko Boland,69.16666666666667,68,73,73,69,74,58
Fausto Rossi,68.16666666666667,76,60,76,73,65,59
Nathan Baker,37.166666666666664,27,44,41,40,41,30
Mattias Johansson,50.833333333333336,43,58,64,58,59,23
Thiago Cionek,39.0,36,35,46,52,31,34
Francesco Caputo,49.833333333333336,51,33,59,31,52,73
Ahmed Kashi,53.833333333333336,59,48,68,61,54,33
Mustafa Pektemek,65.83333333333333,65,67,65,63,69,66
Declan Rudd,24.5,31,15,36,36,15,14
Mehdi Abeid,66.0,64,56,75,73,68,60
Mirco Antenucci,64.33333333333333,64,59,68,50,74,71
Alan Baró,44.666666666666664,32,51,53,58,40,34
Aziz Bouhaddouz,53.0,44,49,63,32,57,73
Tommy Oar,70.16666666666667,73,79,67,57,82,63
Bakary Saré,51.833333333333336,59,47,65,58,34,48
Paulo Garcés,18.166666666666668,47,8,16,19,10,9
Zaur Sadaev,52.666666666666664,54,39,75,60,42,46
Jakob Jantscher,71.83333333333333,67,77,72,70,78,67
Enrique Pérez,59.166666666666664,53,69,65,66,56,46
Sean Morrison,34.166666666666664,31,30,57,47,20,20
Niall McGinn,63.833333333333336,68,67,63,53,71,61
Montoro,65.33333333333333,74,50,74,77,50,67
Roger Espinoza,65.5,69,60,69,69,67,59
Andy King,67.5,69,61,73,69,64,69
Matías Rodríguez,58.0,53,71,62,62,51,49
Fernando Navarro,58.5,56,68,65,63,60,39
Dušan Veškovac,45.666666666666664,42,43,59,56,38,36
László Köteles,20.666666666666668,36,14,19,24,19,12
Gilles Sunu,66.16666666666667,68,71,71,63,62,62
Dušan Kuciak,18.666666666666668,44,11,21,14,11,11
Massimo Coda,49.166666666666664,37,39,65,39,55,60
Elderson Echiéjilé,57.833333333333336,59,59,64,57,59,49
Nílton,66.66666666666667,64,69,70,68,68,61
Arnold Bouka Moutou,51.166666666666664,49,69,69,58,45,17
Mano,55.5,55,67,66,55,42,48
Denis Petric,15.5,25,11,18,13,10,16
Eduardo Herrera,61.166666666666664,66,51,74,51,60,65
Luis Montes,74.33333333333333,76,74,74,73,76,73
Tomasz Kupisz,65.33333333333333,66,70,70,60,70,56
Eric Lichaj,48.833333333333336,36,60,65,50,48,34
Alex Smithies,18.0,43,14,12,15,11,13
John Bostock,67.66666666666667,69,62,74,71,64,66
Riccardo Maniero,54.833333333333336,55,40,60,50,62,62
Giuseppe Bellusci,47.0,50,38,60,60,48,26
Brayan Angulo,55.833333333333336,57,69,60,63,61,25
Stefano Celozzi,60.833333333333336,56,71,67,65,65,41
Aarón Ñíguez,64.66666666666667,67,69,66,57,70,59
Ryan Bennett,32.666666666666664,17,21,59,64,22,13
Dirk Marcellis,48.333333333333336,47,55,60,53,49,26
Vagner,27.166666666666668,51,14,36,34,18,10
Sascha Mölders,60.166666666666664,63,56,62,46,70,64
Emanuele Terranova,40.166666666666664,30,30,54,53,59,15
Joshua John,64.16666666666667,65,72,67,53,65,63
Prince Oniangué,63.833333333333336,70,48,72,66,67,60
Mario Bolatti,65.33333333333333,71,68,72,67,59,55
Adlène Guédioura,62.666666666666664,68,62,74,72,36,64
Nicolò Cherubin,33.666666666666664,38,28,48,52,20,16
Jo Inge Berget,63.166666666666664,70,62,67,58,57,65
Jérémy Taravel,52.666666666666664,54,63,65,61,38,35
Kazenga LuaLua,63.833333333333336,64,67,65,57,63,67
Thuso Phala,63.0,63,66,66,67,57,59
Mark Beevers,40.0,45,31,54,51,21,38
Gaetano Berardi,55.833333333333336,55,69,62,59,54,36
Egidio Arévalo Ríos,61.166666666666664,57,60,65,65,61,59
Tim Matavž,52.666666666666664,47,43,55,36,67,68
Léo Silva,62.666666666666664,66,60,74,71,54,51
Adam Hloušek,65.0,64,68,69,66,65,58
Hajime Hosogai,61.0,67,56,69,68,62,44
David McGoldrick,67.5,70,62,69,68,70,66
Václav Procházka,57.666666666666664,46,60,65,63,51,61
Dame N'Doye,59.333333333333336,64,56,61,38,69,68
Rodolfo Salinas,68.83333333333333,68,63,74,71,67,70
David Cabrera,66.66666666666667,72,67,74,70,70,47
Leandro Grimi,57.5,64,75,63,60,34,49
Anthony Pilkington,69.83333333333333,71,76,65,65,72,70
Radosław Majewski,70.5,72,67,75,68,72,69
Xavi Torres,64.5,72,61,72,69,56,57
Rouwen Hennings,61.0,59,59,61,56,64,67
Thomas Phibel,44.166666666666664,51,35,55,53,34,37
Oleksandr Rybka,31.333333333333332,71,42,25,12,24,14
Charlie Mulgrew,69.66666666666667,60,77,70,70,81,60
Chris Kum,50.833333333333336,56,58,56,69,34,32
Habib Habibou,58.333333333333336,60,62,63,49,47,69
Aleandro Rosi,61.166666666666664,55,73,66,66,65,42
André Leão,60.166666666666664,65,54,71,64,56,51
Alain Traoré,73.0,75,69,74,73,79,68
İsmail Konuk,44.333333333333336,46,39,69,64,33,15
Cenk Gönen,22.833333333333332,44,12,30,24,12,15
Stefano Guberti,71.83333333333333,71,73,69,67,78,73
José Guerrero,64.33333333333333,64,64,70,71,73,44
Kévin Constant,69.16666666666667,70,72,72,70,72,59
Daniele Capelli,39.5,29,45,57,57,31,18
Moreno Costanzo,65.5,75,60,64,59,74,61
Nicolás Bertolo,67.16666666666667,68,65,70,67,73,60
Julio César Domínguez,53.166666666666664,56,58,65,57,45,38
Lukas Jutkiewicz,55.166666666666664,60,51,58,49,53,60
Mattias Bjärsmyr,41.333333333333336,31,40,50,53,40,34
Per Karlsson,37.833333333333336,34,32,50,46,33,32
Jahmir Hyka,62.166666666666664,63,68,62,56,63,61
Nano,69.33333333333333,65,80,69,75,71,56
Daniel Halfar,69.0,72,68,72,65,72,65
Jan Rosenthal,71.0,74,68,72,67,73,72
Christian Bolaños,67.66666666666667,70,71,68,59,72,66
Khalifa Sankaré,41.333333333333336,34,29,56,51,36,42
Walter Ayoví,70.0,72,77,75,76,72,48
Victor Bernárdez,52.0,47,53,58,63,42,49
Chris Gunter,60.333333333333336,57,62,64,62,61,56
Christoph Leitgeb,68.33333333333333,74,62,72,70,72,60
Fabio Ceravolo,61.333333333333336,59,60,65,50,66,68
Daniele Dessena,66.66666666666667,67,66,66,69,66,66
Stylianos Malezas,43.0,38,37,58,56,34,35
Tomasz Jodłowiec,61.666666666666664,68,61,69,68,56,48
Matías Cahais,50.5,44,48,64,54,47,46
Brian Hamalainen,65.83333333333333,59,72,66,67,69,62
Pierre Kanstrup,54.166666666666664,56,53,63,62,48,43
Souleymane Bamba,37.5,38,27,57,53,34,16
Réginal Goreux,66.66666666666667,66,67,67,64,69,67
David Fernández,55.166666666666664,54,50,64,66,56,41
Joona Toivio,53.666666666666664,42,55,58,60,72,35
Gertjan De Mets,68.83333333333333,68,72,71,72,71,59
Michael Mancienne,49.5,52,45,63,65,32,40
Linares,54.166666666666664,59,45,62,42,57,60
Rafa López,53.833333333333336,39,53,67,66,44,54
Carlos Esquivel,64.5,64,69,69,63,62,60
Javi Moyano,54.666666666666664,52,63,62,49,62,40
Jordi Gómez,71.16666666666667,76,69,75,74,68,65
Sastre,67.33333333333333,68,64,76,77,76,43
Antonio Balzano,54.833333333333336,31,65,64,60,59,50
David Cotterill,70.5,69,76,68,72,80,58
Ryan Shotton,53.666666666666664,61,62,66,64,31,38
Roy Beerens,66.66666666666667,65,66,71,59,71,68
Hugo Ventura,25.333333333333332,48,13,31,33,11,16
Carlos Luna,62.0,41,68,76,66,62,59
Kieran Lee,66.5,72,67,75,70,63,52
Fraizer Campbell,56.333333333333336,61,64,63,41,43,66
Michael Madl,57.833333333333336,59,51,65,66,68,38
Jordens Peters,55.666666666666664,62,61,70,69,28,44
Ikechi Anya,59.833333333333336,67,67,69,60,50,46
Jonathan Martins Pereira,61.333333333333336,52,73,71,67,57,48
Mouhamadou Dabo,59.5,61,61,67,63,53,52
Henok Goitom,62.0,64,54,64,53,63,74
Magnus Troest,32.5,21,26,59,55,12,22
Efraín Juárez,63.333333333333336,62,70,70,67,70,41
Steffen Hagen,42.666666666666664,46,40,60,64,30,16
Viktor Fayzulin,69.16666666666667,72,69,78,76,73,47
Kyle Lafferty,59.0,64,55,65,42,54,74
Park Chu Young,67.5,68,58,70,67,75,67
Darío Bottinelli,70.66666666666667,80,72,74,65,75,58
Sekou Cissé,66.83333333333333,69,72,69,59,67,65
Joel Lynch,52.5,56,53,60,60,32,54
Drew Moor,54.666666666666664,49,58,69,72,42,38
Johan Dahlin,23.333333333333332,48,9,24,32,14,13
Pita,70.33333333333333,72,75,77,73,81,44
Nauzet,17.666666666666668,15,14,21,20,17,19
Alexis Thébaux,12.833333333333334,15,13,11,12,13,13
Grant Leadbitter,67.0,72,72,74,70,59,55
Andrea Lazzari,73.66666666666667,69,74,76,75,80,68
James Vaughan,56.0,53,55,61,44,57,66
Jordan Remacle,68.5,73,73,66,65,70,64
Miloš Krasić,70.5,74,67,74,70,71,67
Paul Gallagher,73.83333333333333,76,78,76,77,73,63
Andy Keogh,63.333333333333336,72,59,61,53,70,65
Emanuel Villa,62.5,63,61,64,56,65,66
Liam Ridgewell,52.5,58,53,68,74,31,31
Peter Whittingham,76.16666666666667,74,79,74,74,79,77
Davide Biondini,63.166666666666664,68,64,74,72,42,59
Víctor Casadesús,68.5,73,64,74,63,65,72
José Rivas,47.333333333333336,36,51,63,54,38,42
François Clerc,66.5,67,74,70,63,66,59
Ólafur Ingi Skúlason,60.666666666666664,66,58,68,67,46,59
Vasyl Kobin,54.5,53,72,53,48,42,59
Avimiled Rivas,63.833333333333336,69,65,71,75,45,58
Eugene Galeković,26.5,50,14,32,34,14,15
Clayton Donaldson,55.833333333333336,67,56,61,47,41,63
Nereo Fernández,20.166666666666668,27,20,15,22,15,22
Christian Puggioni,22.666666666666668,36,14,35,23,13,15
Braulio Leal,69.33333333333333,74,71,73,73,60,65
Craig Bryson,65.33333333333333,71,55,71,68,67,60
Łukasz Szukała,47.0,55,41,64,60,34,28
Willem Janssen,67.5,69,69,73,72,54,68
David Edwards,65.33333333333333,70,67,69,66,60,60
Thomas Kessler,19.666666666666668,22,14,23,33,15,11
Joël Sami,52.333333333333336,50,57,63,68,42,34
José De la Cuesta,52.0,42,45,63,61,48,53
Christoph Janker,42.666666666666664,39,45,60,41,32,39
Juan Carlos Medina,68.33333333333333,71,66,71,76,70,56
Damián Álvarez,65.5,66,74,68,57,72,56
Jakub Rzeźniczak,56.333333333333336,56,64,58,60,39,61
Carlitos,72.83333333333333,72,75,75,68,74,73
Łukasz Trałka,63.166666666666664,67,58,69,70,61,54
Víctor Figueroa,71.0,76,65,71,75,75,64
Gustavo Colman,72.83333333333333,79,74,78,74,75,57
Daniel Montenegro,72.83333333333333,76,68,74,77,74,68
Mike Williamson,48.333333333333336,42,51,61,61,40,35
Liam Rosenior,58.666666666666664,56,61,63,53,65,54
Dimitrios Konstantopoulos,19.5,32,10,34,12,10,19
Marco Caligiuri,62.5,62,64,71,69,56,53
Daniele Corvia,53.333333333333336,53,51,59,39,52,66
Ali Al-Habsi,22.833333333333332,29,16,36,25,13,18
Davy De fauw,62.166666666666664,61,76,71,72,64,29
Sławomir Peszko,67.83333333333333,68,70,70,66,68,65
Paweł Kieszek,26.166666666666668,45,14,31,39,16,12
Ivica Olić,61.0,62,49,63,55,62,75
Igor Lebedenko,66.33333333333333,69,64,72,60,66,67
Roman Pavlyuchenko,68.5,64,66,72,65,71,73
Juan Rodriguez,63.166666666666664,72,58,77,67,58,47
Rubén,22.833333333333332,40,12,31,32,11,11
Ikechukwu Uche,59.333333333333336,59,60,60,51,49,77
Răzvan Raţ,68.0,59,80,67,75,71,56
Emiliano Papa,62.666666666666664,65,70,66,65,69,41
Jonás Gutiérrez,68.33333333333333,69,71,75,70,67,58
Facundo Erpen,51.5,51,53,62,57,39,47
Patricio Toranzo,70.83333333333333,74,72,74,73,70,62
Israel Damonte,64.83333333333333,69,67,74,72,55,52
Alexandros Tziolis,64.66666666666667,67,60,72,71,62,56
Sammy Bossut,25.5,45,12,36,38,11,11
Ross Wallace,66.83333333333333,68,74,67,66,72,54
Óscar Pérez,22.833333333333332,40,19,26,27,12,13
Alessandro Cordaro,64.16666666666667,67,67,66,65,58,62
Carlos Salcido,62.166666666666664,61,70,70,68,54,50
Billy Jones,57.0,51,54,68,66,58,45
Issa Cissokho,63.5,54,75,65,69,68,50
Hassan Yebda,62.0,65,59,74,70,48,56
Amaya,42.833333333333336,49,38,63,58,27,22
Franck Signorino,63.5,60,69,72,64,68,48
Jordan Lotiès,49.166666666666664,49,37,62,59,49,39
Christophe Lepoint,60.0,69,53,70,65,40,63
Kim Do Heon,72.0,78,71,75,75,72,61
Rodolfo,54.5,57,64,46,63,45,52
Niki Zimling,63.0,66,64,72,70,57,49
Jesper Hansen,29.333333333333332,49,18,36,46,16,11
Sabri Sarıoğlu,64.0,54,78,69,68,58,57
Ali Turan,47.833333333333336,53,57,65,63,28,21
Sulley Muntari,67.83333333333333,62,60,75,68,69,73
Marco Donadel,71.33333333333333,69,70,72,75,76,66
Elyasa Süme,49.333333333333336,53,58,65,57,22,41
Youssouf Hadji,65.83333333333333,70,66,71,66,55,67
Clément Maury,21.5,28,13,21,30,16,21
Alexander Madlung,44.0,39,44,57,62,23,39
Daniel Sjölund,67.33333333333333,75,61,71,72,66,59
Heiko Westermann,58.333333333333336,53,58,60,69,48,62
Johan Cavalli,68.5,75,71,73,69,59,64
Darren Bent,55.166666666666664,50,54,57,31,68,71
Jakob Poulsen,69.33333333333333,72,66,73,72,70,63
Matteo Brighi,70.0,74,64,76,72,68,66
Daniele Cacia,52.5,52,38,61,34,60,70
Steve von Bergen,50.5,45,49,66,63,42,38
Benoît Cheyrou,69.66666666666667,63,71,71,74,72,67
Gerhard Tremmel,16.0,11,12,23,22,15,13
Steed Malbranque,71.16666666666667,76,63,79,74,72,63
Rúben Fernandes,54.166666666666664,52,51,64,59,48,51
Stefan Ishizaki,76.5,77,79,76,71,79,77
Moreira,25.833333333333332,32,19,33,34,18,19
Sergiu Hanca,66.0,68,74,65,62,71,56
Damir Šovšić,68.83333333333333,67,66,74,71,72,63
Juan Sebastián Verón,75.83333333333333,83,73,78,74,82,65
Cristian Colmán,48.666666666666664,52,29,53,36,56,66
Tomáš Souček,63.833333333333336,64,57,72,67,59,64
Antonín Barák,68.33333333333333,74,71,74,68,58,65
Manolis Siopis,55.166666666666664,59,61,73,69,41,28
Sasa Lukic,69.66666666666667,64,66,76,72,72,68
Michael Ngadeu-Ngadjui,41.333333333333336,33,28,63,56,30,38
Maximiliano Olivera,58.0,45,74,68,58,65,38
Andriy Totovytskyi,66.5,71,67,72,62,64,63
Alberth Elis,61.666666666666664,56,62,66,60,60,66
Omer Atzili,65.16666666666667,68,71,61,60,72,59
Ever Corredeira,53.833333333333336,53,42,60,41,55,72
Nilson Padilho,62.5,73,48,71,74,46,63
Luan Sendeiro,63.333333333333336,72,65,72,78,53,40
Jailson Oliva,53.5,50,64,62,56,53,36
João Bardinho,69.66666666666667,64,74,72,68,75,65
Rafa Navarro,53.166666666666664,51,70,68,42,52,36
Srdjan Babic,40.833333333333336,34,23,58,56,41,33
Youssef En-Nesyri,48.833333333333336,44,48,59,40,37,65
Matthijs de Ligt,47.833333333333336,42,47,72,69,28,29
Achraf Hakimi,57.666666666666664,61,69,68,65,46,37
Mateus,54.0,54,45,73,66,45,41
Ratón,23.0,33,11,40,34,14,6
Platiny,51.666666666666664,59,33,55,32,66,65
Sergey Chernik,14.0,23,10,13,16,14,8
Salvi,63.666666666666664,71,71,67,54,65,54
Alberto Benito,55.0,47,69,62,58,58,36
Didi,48.5,36,54,62,59,38,42
Borja Lasso,65.5,66,72,71,69,63,52
Allan Ardaújo,68.66666666666667,74,64,73,68,70,63
Jairo Farnias,18.666666666666668,51,11,18,15,11,6
Ricky Guerreda,58.5,56,65,68,61,60,41
Elgezabal,46.0,46,40,63,59,36,32
Milad Mohammadi,61.833333333333336,65,72,63,57,59,55
Daisuke Suzuki,52.666666666666664,53,58,67,65,35,38
Bernardo,51.833333333333336,49,52,69,59,47,35
Guillermo Acosta,61.166666666666664,68,62,70,70,52,45
Gonzalo Papa,53.5,48,56,64,61,57,35
Nicolás Romat,47.333333333333336,35,68,61,59,40,21
Nicolás Silva,63.5,62,69,69,67,66,48
Wataru Endo,43.333333333333336,36,47,58,56,37,26
Christopher Nkunku,64.0,70,60,74,65,71,44
Ryota Moriwaki,40.666666666666664,41,38,51,41,41,32
Milan Škriniar,48.666666666666664,41,43,64,61,38,45
Emanuel Dening,50.166666666666664,67,32,58,47,42,55
Gabriel Sanabria,66.66666666666667,78,71,72,71,68,40
Leonardo Castro,56.833333333333336,59,57,62,52,43,68
Yann Karamoh,65.0,65,65,67,63,64,66
Javi Ontiveros,63.833333333333336,64,69,76,67,70,37
Cameron Borthwick-Jackson,62.333333333333336,53,75,69,62,74,41
Alexis Soto,44.833333333333336,37,53,58,44,40,37
Joris Gnagnon,40.0,34,35,63,47,29,32
Emre Mor,55.333333333333336,57,54,57,49,53,62
Nejc Skubic,55.666666666666664,56,68,68,51,31,60
Jozo Šimunović,41.0,40,24,67,60,24,31
Saberto Botelho,50.833333333333336,46,39,68,66,37,49
Sevinho Santos,57.0,54,58,52,50,68,60
Vicemte Tófoli,63.333333333333336,61,58,69,59,64,69
Diogildo Peixe,63.666666666666664,71,71,67,56,45,72
Raphael Paneira,58.666666666666664,68,43,70,64,44,63
Macarinho Louro,63.166666666666664,53,77,71,72,55,51
Renaldo Justinho,67.16666666666667,73,66,71,58,64,71
Alam Basteirinho,69.0,76,68,72,66,65,67
Diegildo Ramos,59.0,72,62,69,66,44,41
Ansel Barnisco,59.833333333333336,71,55,71,72,44,46
Nazarinho Rios,58.666666666666664,66,62,72,77,44,31
Lourival Dinisco,48.833333333333336,41,44,61,71,45,31
Allison Sireo,39.166666666666664,39,36,48,45,30,37
Eltson Marques,41.833333333333336,39,35,48,53,33,43
Césario Figueirido,54.0,44,57,62,61,51,49
Milton Menceiros,55.166666666666664,64,38,66,56,55,52
Bernardo Motinho,61.166666666666664,67,77,67,61,41,54
Sérgio Espinho,61.833333333333336,62,66,68,67,53,55
Paulo Mesqueira,69.83333333333333,71,76,67,68,73,64
Daguinho Parrela,61.166666666666664,62,72,73,71,45,44
Luisinho Conradi,66.33333333333333,59,72,66,68,74,59
Wagner Orsinho,65.33333333333333,59,73,73,71,62,54
Emerson Avintes,70.66666666666667,69,71,74,65,79,66
Breno Bemposta,62.833333333333336,67,56,69,65,74,46
Enzo Chissano,62.666666666666664,59,61,68,72,63,53
Alexio Sanctos,50.666666666666664,48,66,63,59,32,36
Renatao Baumer,61.333333333333336,48,70,72,64,62,52
Alam Araújo,59.833333333333336,41,71,71,71,61,44
Victor Fachinhas,21.333333333333332,62,11,20,18,9,8
Vital Nsimba,60.166666666666664,59,66,61,61,65,49
Fran Villalba,67.0,72,66,71,68,74,51
Andrey Lunev,22.0,33,16,23,21,18,21
Georgiy Dzhikiya,53.0,46,58,63,65,60,26
Rodrigo Pinho,55.0,62,39,63,50,65,51
Victorien Angban,61.0,69,59,72,70,59,37
Pascal Stenzel,58.5,56,65,72,62,57,39
Fernando De Paul,26.333333333333332,64,11,29,22,19,13
David Rocha,67.16666666666667,71,64,73,72,76,47
Matheus Pereira,65.5,64,60,70,60,73,66
Charles,23.0,48,12,22,18,19,19
Elohim Rolland,62.333333333333336,69,52,71,65,54,63
Davide Calabria,56.833333333333336,40,68,64,64,62,43
Hidde Jurjus,25.166666666666668,40,19,21,45,14,12
Marc Roberts,33.833333333333336,32,23,50,51,24,23
Zinédine Machach,66.83333333333333,69,72,74,69,59,58
Raillo,47.0,46,29,69,59,42,37
Alexandre Silva,59.833333333333336,65,54,67,48,68,57
Giovanni Troupée,58.5,50,70,67,64,55,45
Georgiy Tigiev,59.166666666666664,59,60,70,56,65,45
Brandley Kuwas,61.166666666666664,62,60,68,59,73,45
Rico Strieder,58.833333333333336,63,57,73,68,48,44
Óscar Vílchez,52.166666666666664,63,49,69,63,38,31
Josep Señé,65.5,74,64,75,71,63,46
Nuno Santos,68.33333333333333,65,70,67,63,77,68
Kim Seung Joon,59.333333333333336,70,66,67,47,48,58
Anastasios Donis,53.0,50,45,67,46,47,63
Hugo Basto,40.666666666666664,33,42,60,45,28,36
Dmitriy Stotskiy,64.0,67,70,68,66,60,53
Samuel Adegbenro,56.333333333333336,66,63,60,39,57,53
Damián Lemos,55.5,56,56,64,66,60,31
Cristian Arrieta,50.0,48,62,56,55,40,39
Melero,63.833333333333336,68,55,73,71,68,48
Yojiro Takahagi,65.83333333333333,72,55,73,68,63,64
Jhonathan Muñoz,44.666666666666664,46,50,57,60,23,32
Ivo Rodrigues,61.833333333333336,67,63,66,51,65,59
Bruno Santos,45.166666666666664,53,57,57,35,41,28
Benjamin Pavard,58.833333333333336,62,65,68,66,49,43
Matías Escudero,33.0,28,26,54,46,23,21
Antonio Milić,53.333333333333336,54,61,65,67,36,37
Kieran Tierney,57.833333333333336,64,70,67,57,63,26
Fabián,67.16666666666667,74,60,75,72,70,52
Che Adams,54.333333333333336,59,49,59,52,60,47
Assane Gnoukouri,63.5,68,62,74,73,54,50
Steven Bergwijn,61.333333333333336,63,57,64,52,70,62
Olivier Boscagli,51.666666666666664,63,67,66,63,29,22
Daniele Verde,64.66666666666667,68,64,68,60,68,60
Washington,56.333333333333336,64,57,71,65,47,34
Oliver Burke,58.166666666666664,57,63,64,55,62,48
Carlos Embalo,58.833333333333336,56,62,66,61,61,47
Duje Ćaleta-Car,39.666666666666664,45,28,62,43,28,32
Jarlan Barrera,63.666666666666664,72,72,68,70,60,40
Ramahlwe Mphahlele,52.5,45,68,59,66,45,32
Alex Meret,21.166666666666668,21,15,29,22,20,20
Joe Gomez,46.5,39,57,65,53,41,24
Jean-Luc Dompé Diarra,68.66666666666667,62,67,66,63,80,74
André Moreira,23.5,49,14,24,25,17,12
Lewis Cook,59.666666666666664,66,57,75,68,48,44
Sasa Zdjelar,52.5,59,45,70,59,38,44
Dabney Dos Santos,64.66666666666667,70,65,68,64,66,55
Sofyan Amrabat,64.66666666666667,73,70,74,70,55,46
Marcos Riquelme,50.5,58,42,53,35,58,57
Alejandro Márquez,55.0,60,51,64,67,49,39
Sergio Herrera,25.166666666666668,33,20,24,21,21,32
Vítor Bruno,64.16666666666667,60,70,63,66,66,60
